Problem type:
least_squares
nparams:
4
function_evaluation,seconds,x(0),x(1),x(2),x(3),objective_function
    17,  9.5383e-01,  5.3960209919616020e-01, -5.0292001641462103e-01,  9.2393559318304830e-01, -1.2307070058494949e+00,  8.6615980250333416e+02
    18,  1.0023e+00,  5.3960209919616020e-01, -5.0292000151345984e-01,  9.2393560808420949e-01, -1.2307070058494949e+00,  8.6615993774658068e+02
    19,  1.0513e+00,  5.3960209919616020e-01, -5.0292000151345984e-01,  9.2393559318304830e-01, -1.2307070241884583e+00,  8.6615997150387307e+02
    20,  1.0985e+00,  7.3422654987112557e-01, -6.9251537141408304e-01,  9.0115307988904880e-01,  2.4207712940796600e-01,  2.9723450199355347e+02
    21,  1.1445e+00,  7.3422656477228676e-01, -6.9251537141408304e-01,  9.0115307988904880e-01,  2.4207712940796600e-01,  2.9723452059292816e+02
    22,  1.1907e+00,  7.3422654987112557e-01, -6.9251538631524423e-01,  9.0115307988904880e-01,  2.4207712940796600e-01,  2.9723446273667139e+02
    23,  1.2366e+00,  7.3422654987112557e-01, -6.9251537141408304e-01,  9.0115309479021000e-01,  2.4207712940796600e-01,  2.9723449360401895e+02
    24,  1.2826e+00,  7.3422654987112557e-01, -6.9251537141408304e-01,  9.0115307988904880e-01,  2.4207714430912719e-01,  2.9723450317763940e+02
    25,  1.3317e+00,  7.4512878337468280e-01, -8.0377062051269177e-01,  1.1859404943374621e+00,  2.4524217201694340e-01,  1.3361014733841677e+02
    26,  1.3798e+00,  7.4512879827584400e-01, -8.0377062051269177e-01,  1.1859404943374621e+00,  2.4524217201694340e-01,  1.3361013052909578e+02
    27,  1.4275e+00,  7.4512878337468280e-01, -8.0377063541385296e-01,  1.1859404943374621e+00,  2.4524217201694340e-01,  1.3361016535208569e+02
    28,  1.4744e+00,  7.4512878337468280e-01, -8.0377062051269177e-01,  1.1859405120093525e+00,  2.4524217201694340e-01,  1.3361014692661252e+02
    29,  1.5210e+00,  7.4512878337468280e-01, -8.0377062051269177e-01,  1.1859404943374621e+00,  2.4524218691810459e-01,  1.3361014743888370e+02
    30,  1.5738e+00,  7.2343928703204596e-01, -7.0518122794665272e-01,  1.2733466124641621e+00,  3.5254257492142055e-01,  1.3502820571909461e+02
    31,  1.6255e+00,  7.5025618400874294e-01, -7.6125800218672990e-01,  1.1865180500978421e+00,  2.4539302998428619e-01,  1.1189766937415372e+02
    32,  1.6774e+00,  7.5025619890990414e-01, -7.6125800218672990e-01,  1.1865180500978421e+00,  2.4539302998428619e-01,  1.1189767307677330e+02
    33,  1.7283e+00,  7.5025618400874294e-01, -7.6125801708789109e-01,  1.1865180500978421e+00,  2.4539302998428619e-01,  1.1189766802393906e+02
    34,  1.7796e+00,  7.5025618400874294e-01, -7.6125800218672990e-01,  1.1865180677783387e+00,  2.4539302998428619e-01,  1.1189766642946705e+02
    35,  1.8310e+00,  7.5025618400874294e-01, -7.6125800218672990e-01,  1.1865180500978421e+00,  2.4539304488544739e-01,  1.1189767025328828e+02
    36,  1.8833e+00,  7.4085826906420849e-01, -7.5971127984133280e-01,  1.2266407663549983e+00,  2.3384210933686564e-01,  1.0540871791098699e+02
    37,  1.9350e+00,  7.4085828396536968e-01, -7.5971127984133280e-01,  1.2266407663549983e+00,  2.3384210933686564e-01,  1.0540871610456638e+02
    38,  1.9853e+00,  7.4085826906420849e-01, -7.5971129474249399e-01,  1.2266407663549983e+00,  2.3384210933686564e-01,  1.0540872013025826e+02
    39,  2.0365e+00,  7.4085826906420849e-01, -7.5971127984133280e-01,  1.2266407846333700e+00,  2.3384210933686564e-01,  1.0540871604499011e+02
    40,  2.0874e+00,  7.4085826906420849e-01, -7.5971127984133280e-01,  1.2266407663549983e+00,  2.3384212423802683e-01,  1.0540871851103941e+02
    41,  2.1401e+00,  7.3725501389883108e-01, -7.1867526575998719e-01,  1.2965166102568813e+00,  2.0634109714779597e-01,  1.1550222324606514e+02
    42,  2.1917e+00,  7.4337668405720192e-01, -7.4646214134712086e-01,  1.2420289905334714e+00,  2.2753237142941318e-01,  1.0650669486687826e+02
    43,  2.2425e+00,  7.4289132864295426e-01, -7.5602099087428909e-01,  1.2297042704103669e+00,  2.3260957169517280e-01,  1.0454772298223567e+02
    44,  2.2997e+00,  7.4289134354411546e-01, -7.5602099087428909e-01,  1.2297042704103669e+00,  2.3260957169517280e-01,  1.0454772328293407e+02
    45,  2.3554e+00,  7.4289132864295426e-01, -7.5602100577545028e-01,  1.2297042704103669e+00,  2.3260957169517280e-01,  1.0454772370837973e+02
    46,  2.4061e+00,  7.4289132864295426e-01, -7.5602099087428909e-01,  1.2297042887343885e+00,  2.3260957169517280e-01,  1.0454772107221507e+02
    47,  2.4569e+00,  7.4289132864295426e-01, -7.5602099087428909e-01,  1.2297042704103669e+00,  2.3260958659633399e-01,  1.0454772359440757e+02
    48,  2.5097e+00,  7.4159187544810767e-01, -7.5184204544933375e-01,  1.2388060027891743e+00,  2.2905578717440114e-01,  1.0415458781063013e+02
    49,  2.5611e+00,  7.4159189034926887e-01, -7.5184204544933375e-01,  1.2388060027891743e+00,  2.2905578717440114e-01,  1.0415459251307865e+02
    50,  2.6117e+00,  7.4159187544810767e-01, -7.5184206035049495e-01,  1.2388060027891743e+00,  2.2905578717440114e-01,  1.0415458457049198e+02
    51,  2.6631e+00,  7.4159187544810767e-01, -7.5184204544933375e-01,  1.2388060212488223e+00,  2.2905578717440114e-01,  1.0415458665125546e+02
    52,  2.7141e+00,  7.4159187544810767e-01, -7.5184204544933375e-01,  1.2388060027891743e+00,  2.2905580207556234e-01,  1.0415458808733868e+02
    53,  2.7663e+00,  7.3359300170501940e-01, -7.5628893221702675e-01,  1.2442847309719336e+00,  2.2813392243229066e-01,  1.0451286426300550e+02
    54,  2.8174e+00,  7.3941967189003999e-01, -7.5331520022943754e-01,  1.2393124642012889e+00,  2.2891872497746027e-01,  1.0336846395591128e+02
    55,  2.8685e+00,  7.3941968679120118e-01, -7.5331520022943754e-01,  1.2393124642012889e+00,  2.2891872497746027e-01,  1.0336846660231437e+02
    56,  2.9210e+00,  7.3941967189003999e-01, -7.5331521513059874e-01,  1.2393124642012889e+00,  2.2891872497746027e-01,  1.0336846235132353e+02
    57,  2.9822e+00,  7.3941967189003999e-01, -7.5331520022943754e-01,  1.2393124826684838e+00,  2.2891872497746027e-01,  1.0336846292218057e+02
    58,  3.0392e+00,  7.3941967189003999e-01, -7.5331520022943754e-01,  1.2393124642012889e+00,  2.2891873987862146e-01,  1.0336846418941006e+02
    59,  3.0968e+00,  7.3539952610513126e-01, -7.5495276974171699e-01,  1.2423698133776457e+00,  2.2823668390770868e-01,  1.0389262559069086e+02
    60,  3.1490e+00,  7.3831957120670322e-01, -7.5395050876314651e-01,  1.2397192412986957e+00,  2.2881065289758784e-01,  1.0348159059841740e+02
    61,  3.2011e+00,  7.3914419476509585e-01, -7.5348048681762303e-01,  1.2394025166217799e+00,  2.2889382797550750e-01,  1.0338073324647813e+02
    62,  3.2532e+00,  7.3935079689802141e-01, -7.5335685546470366e-01,  1.2393343673933939e+00,  2.2891261231568549e-01,  1.0336195938809847e+02
    63,  3.3055e+00,  7.3935081179918261e-01, -7.5335685546470366e-01,  1.2393343673933939e+00,  2.2891261231568549e-01,  1.0336195848050632e+02
    64,  3.3589e+00,  7.3935079689802141e-01, -7.5335687036586485e-01,  1.2393343673933939e+00,  2.2891261231568549e-01,  1.0336196047728937e+02
    65,  3.4097e+00,  7.3935079689802141e-01, -7.5335685546470366e-01,  1.2393343858609152e+00,  2.2891261231568549e-01,  1.0336195765439506e+02
    66,  3.4609e+00,  7.3935079689802141e-01, -7.5335685546470366e-01,  1.2393343673933939e+00,  2.2891262721684669e-01,  1.0336195994508223e+02
    67,  3.5222e+00,  7.3938715238651476e-01, -7.5331282525052201e-01,  1.2393911499986003e+00,  2.2888999833659113e-01,  1.0335811328713255e+02
    68,  3.5841e+00,  7.3938716728767595e-01, -7.5331282525052201e-01,  1.2393911499986003e+00,  2.2888999833659113e-01,  1.0335811591620512e+02
    69,  3.6369e+00,  7.3938715238651476e-01, -7.5331284015168321e-01,  1.2393911499986003e+00,  2.2888999833659113e-01,  1.0335811169416105e+02
    70,  3.6877e+00,  7.3938715238651476e-01, -7.5331282525052201e-01,  1.2393911684669676e+00,  2.2888999833659113e-01,  1.0335811225572274e+02
    71,  3.7387e+00,  7.3938715238651476e-01, -7.5331282525052201e-01,  1.2393911499986003e+00,  2.2889001323775232e-01,  1.0335811352003668e+02
    72,  3.7938e+00,  7.3931828696195823e-01, -7.5335444435000243e-01,  1.2394131450313701e+00,  2.2888386156206883e-01,  1.0335531313913567e+02
    73,  3.8467e+00,  7.3931830186311942e-01, -7.5335444435000243e-01,  1.2394131450313701e+00,  2.2888386156206883e-01,  1.0335531221800646e+02
    74,  3.8976e+00,  7.3931828696195823e-01, -7.5335445925116362e-01,  1.2394131450313701e+00,  2.2888386156206883e-01,  1.0335531423591634e+02
    75,  3.9482e+00,  7.3931828696195823e-01, -7.5335444435000243e-01,  1.2394131635000651e+00,  2.2888386156206883e-01,  1.0335531140779223e+02
    76,  3.9995e+00,  7.3931828696195823e-01, -7.5335444435000243e-01,  1.2394131450313701e+00,  2.2888387646323002e-01,  1.0335531369542738e+02
    77,  4.0522e+00,  7.3932754058891748e-01, -7.5334340126990074e-01,  1.2394272245191817e+00,  2.2887825432179457e-01,  1.0335240206493395e+02
    78,  4.1045e+00,  7.3932755549007867e-01, -7.5334340126990074e-01,  1.2394272245191817e+00,  2.2887825432179457e-01,  1.0335240114961796e+02
    79,  4.1555e+00,  7.3932754058891748e-01, -7.5334341617106193e-01,  1.2394272245191817e+00,  2.2887825432179457e-01,  1.0335240315864247e+02
    80,  4.2064e+00,  7.3932754058891748e-01, -7.5334340126990074e-01,  1.2394272429880866e+00,  2.2887825432179457e-01,  1.0335240033364305e+02
    81,  4.2571e+00,  7.3932754058891748e-01, -7.5334340126990074e-01,  1.2394272245191817e+00,  2.2887826922295576e-01,  1.0335240262122869e+02
    82,  4.3097e+00,  7.3934592458161286e-01, -7.5332133444968363e-01,  1.2394554657304819e+00,  2.2886700587102887e-01,  1.0334659763859432e+02
    83,  4.3623e+00,  7.3934593948277405e-01, -7.5332133444968363e-01,  1.2394554657304819e+00,  2.2886700587102887e-01,  1.0334659673486054e+02
    84,  4.4142e+00,  7.3934592458161286e-01, -7.5332134935084483e-01,  1.2394554657304819e+00,  2.2886700587102887e-01,  1.0334659872620846e+02
    85,  4.4657e+00,  7.3934592458161286e-01, -7.5332133444968363e-01,  1.2394554841998076e+00,  2.2886700587102887e-01,  1.0334659590741288e+02
    86,  4.5173e+00,  7.3934592458161286e-01, -7.5332133444968363e-01,  1.2394554657304819e+00,  2.2886702077219007e-01,  1.0334659819489403e+02
    87,  4.5711e+00,  7.3938219743198064e-01, -7.5327727928883004e-01,  1.2395122747163803e+00,  2.2884437403816979e-01,  1.0335357003319203e+02
    88,  4.6231e+00,  7.3935505857747896e-01, -7.5331031680788962e-01,  1.2394696293168757e+00,  2.2886136434110815e-01,  1.0334791165045270e+02
    89,  4.6753e+00,  7.3934821220192870e-01, -7.5331857980438921e-01,  1.2394590041948172e+00,  2.2886559652201224e-01,  1.0334649483260200e+02
    90,  4.7267e+00,  7.3934822710308989e-01, -7.5331857980438921e-01,  1.2394590041948172e+00,  2.2886559652201224e-01,  1.0334649743918605e+02
    91,  4.7781e+00,  7.3934821220192870e-01, -7.5331859470555040e-01,  1.2394590041948172e+00,  2.2886559652201224e-01,  1.0334649325516172e+02
    92,  4.8295e+00,  7.3934821220192870e-01, -7.5331857980438921e-01,  1.2394590226641957e+00,  2.2886559652201224e-01,  1.0334649380383227e+02
    93,  4.8811e+00,  7.3934821220192870e-01, -7.5331857980438921e-01,  1.2394590041948172e+00,  2.2886561142317344e-01,  1.0334649506476268e+02
    94,  4.9337e+00,  7.3934713631615190e-01, -7.5331923087898833e-01,  1.2394593468379691e+00,  2.2886550068712030e-01,  1.0334621717010471e+02
    95,  4.9848e+00,  7.3934715121731309e-01, -7.5331923087898833e-01,  1.2394593468379691e+00,  2.2886550068712030e-01,  1.0334621977596976e+02
    96,  5.0360e+00,  7.3934713631615190e-01, -7.5331924578014953e-01,  1.2394593468379691e+00,  2.2886550068712030e-01,  1.0334621559319227e+02
    97,  5.0870e+00,  7.3934713631615190e-01, -7.5331923087898833e-01,  1.2394593653073527e+00,  2.2886550068712030e-01,  1.0334621614140515e+02
    98,  5.1378e+00,  7.3934713631615190e-01, -7.5331923087898833e-01,  1.2394593468379691e+00,  2.2886551558828150e-01,  1.0334621740224320e+02
    99,  5.1901e+00,  7.3934498454629960e-01, -7.5332053289793199e-01,  1.2394600323624694e+00,  2.2886530896515891e-01,  1.0334610477392008e+02
   100,  5.2410e+00,  7.3934499944746079e-01, -7.5332053289793199e-01,  1.2394600323624694e+00,  2.2886530896515891e-01,  1.0334610386992009e+02
   101,  5.2916e+00,  7.3934498454629960e-01, -7.5332054779909319e-01,  1.2394600323624694e+00,  2.2886530896515891e-01,  1.0334610586170295e+02
   102,  5.3425e+00,  7.3934498454629960e-01, -7.5332053289793199e-01,  1.2394600508318632e+00,  2.2886530896515891e-01,  1.0334610304285211e+02
   103,  5.3932e+00,  7.3934498454629960e-01, -7.5332053289793199e-01,  1.2394600323624694e+00,  2.2886532386632011e-01,  1.0334610533018751e+02
   104,  5.4459e+00,  7.3934527071525780e-01, -7.5332018852725779e-01,  1.2394604745229310e+00,  2.2886513285570165e-01,  1.0334601426060449e+02
   105,  5.4972e+00,  7.3934528561641899e-01, -7.5332018852725779e-01,  1.2394604745229310e+00,  2.2886513285570165e-01,  1.0334601335677817e+02
   106,  5.5482e+00,  7.3934527071525780e-01, -7.5332020342841899e-01,  1.2394604745229310e+00,  2.2886513285570165e-01,  1.0334601534828434e+02
   107,  5.5994e+00,  7.3934527071525780e-01, -7.5332018852725779e-01,  1.2394604929923312e+00,  2.2886513285570165e-01,  1.0334601252953738e+02
   108,  5.6508e+00,  7.3934527071525780e-01, -7.5332018852725779e-01,  1.2394604745229310e+00,  2.2886514775686284e-01,  1.0334601481687194e+02
   109,  5.7043e+00,  7.3934584293659356e-01, -7.5331949980977797e-01,  1.2394613589246628e+00,  2.2886478060359475e-01,  1.0334583928582676e+02
   110,  5.7562e+00,  7.3934585783775475e-01, -7.5331949980977797e-01,  1.2394613589246628e+00,  2.2886478060359475e-01,  1.0334584189093039e+02
   111,  5.8079e+00,  7.3934584293659356e-01, -7.5331951471093916e-01,  1.2394613589246628e+00,  2.2886478060359475e-01,  1.0334583770944076e+02
   112,  5.8599e+00,  7.3934584293659356e-01, -7.5331949980977797e-01,  1.2394613773940764e+00,  2.2886478060359475e-01,  1.0334583825720786e+02
   113,  5.9115e+00,  7.3934584293659356e-01, -7.5331949980977797e-01,  1.2394613589246628e+00,  2.2886479550475594e-01,  1.0334583951794016e+02
   114,  5.9644e+00,  7.3934369117799636e-01, -7.5332080176752514e-01,  1.2394620445910922e+00,  2.2886458884726715e-01,  1.0334598741830747e+02
   115,  6.0163e+00,  7.3934530499681783e-01, -7.5331982531903685e-01,  1.2394615303050909e+00,  2.2886473267116778e-01,  1.0334587177723819e+02
   116,  6.0678e+00,  7.3934570845164183e-01, -7.5331958118833109e-01,  1.2394614017675094e+00,  2.2886476862090380e-01,  1.0334584288164704e+02
   117,  6.1201e+00,  7.3934580931535510e-01, -7.5331952015449366e-01,  1.2394613696352332e+00,  2.2886477760794799e-01,  1.0334583565866474e+02
   118,  6.1720e+00,  7.3934582421651629e-01, -7.5331952015449366e-01,  1.2394613696352332e+00,  2.2886477760794799e-01,  1.0334583475519257e+02
   119,  6.2231e+00,  7.3934580931535510e-01, -7.5331953505565485e-01,  1.2394613696352332e+00,  2.2886477760794799e-01,  1.0334583674617500e+02
   120,  6.2747e+00,  7.3934580931535510e-01, -7.5331952015449366e-01,  1.2394613881046468e+00,  2.2886477760794799e-01,  1.0334583392760530e+02
   121,  6.3267e+00,  7.3934580931535510e-01, -7.5331952015449366e-01,  1.2394613696352332e+00,  2.2886479250910918e-01,  1.0334583621493204e+02
   122,  6.3792e+00,  7.3934582719502606e-01, -7.5331949863268144e-01,  1.2394613972744462e+00,  2.2886476659939564e-01,  1.0334583430438114e+02
   123,  6.4303e+00,  7.3934584209618726e-01, -7.5331949863268144e-01,  1.2394613972744462e+00,  2.2886476659939564e-01,  1.0334583690947574e+02
   124,  6.4812e+00,  7.3934582719502606e-01, -7.5331951353384263e-01,  1.2394613972744462e+00,  2.2886476659939564e-01,  1.0334583272800153e+02
   125,  6.5320e+00,  7.3934582719502606e-01, -7.5331949863268144e-01,  1.2394614157438602e+00,  2.2886476659939564e-01,  1.0334583327576556e+02
   126,  6.5827e+00,  7.3934582719502606e-01, -7.5331949863268144e-01,  1.2394613972744462e+00,  2.2886478150055684e-01,  1.0334583453649432e+02
   127,  6.6353e+00,  7.3934581878971561e-01, -7.5331950371886303e-01,  1.2394613999520809e+00,  2.2886476585048374e-01,  1.0334583213607924e+02
   128,  6.6869e+00,  7.3934583369087681e-01, -7.5331950371886303e-01,  1.2394613999520809e+00,  2.2886476585048374e-01,  1.0334583474116079e+02
   129,  6.7386e+00,  7.3934581878971561e-01, -7.5331951862002422e-01,  1.2394613999520809e+00,  2.2886476585048374e-01,  1.0334583169185615e+02
   130,  6.7910e+00,  7.3934581878971561e-01, -7.5331950371886303e-01,  1.2394614184214952e+00,  2.2886476585048374e-01,  1.0334583110745922e+02
   131,  6.8441e+00,  7.3934581878971561e-01, -7.5331950371886303e-01,  1.2394613999520809e+00,  2.2886478075164493e-01,  1.0334583236819225e+02
