Problem type:
least_squares
nparams:
6
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),objective_function
     0,  6.5076e-02,  7.3934581878971561e-01,  0.0000000000000000e+00, -7.5331950371886303e-01,  0.0000000000000000e+00,  1.2394613999520809e+00,  2.2886476585048374e-01,  1.2705058278771662e+02
     1,  1.3104e-01,  7.3934583369087681e-01,  0.0000000000000000e+00, -7.5331950371886303e-01,  0.0000000000000000e+00,  1.2394613999520809e+00,  2.2886476585048374e-01,  1.2705058056214970e+02
     2,  1.9694e-01,  7.3934581878971561e-01,  1.4901161193847656e-08, -7.5331950371886303e-01,  0.0000000000000000e+00,  1.2394613999520809e+00,  2.2886476585048374e-01,  1.2705056622247514e+02
     3,  2.6256e-01,  7.3934581878971561e-01,  0.0000000000000000e+00, -7.5331951862002422e-01,  0.0000000000000000e+00,  1.2394613999520809e+00,  2.2886476585048374e-01,  1.2705058488830790e+02
     4,  3.2843e-01,  7.3934581878971561e-01,  0.0000000000000000e+00, -7.5331950371886303e-01,  1.4901161193847656e-08,  1.2394613999520809e+00,  2.2886476585048374e-01,  1.2705056856780453e+02
     5,  3.9499e-01,  7.3934581878971561e-01,  0.0000000000000000e+00, -7.5331950371886303e-01,  0.0000000000000000e+00,  1.2394614184214952e+00,  2.2886476585048374e-01,  1.2705058097880544e+02
     6,  4.6073e-01,  7.3934581878971561e-01,  0.0000000000000000e+00, -7.5331950371886303e-01,  0.0000000000000000e+00,  1.2394613999520809e+00,  2.2886478075164493e-01,  1.2705058332165191e+02
     7,  5.2899e-01,  7.9116819437219532e-01,  6.4043205763407385e-02, -7.6436733453968309e-01, -5.7997385827438179e-02,  1.2087709535259057e+00,  8.2236600391779019e-02,  1.3318861210062656e+02
     8,  5.9504e-01,  7.5596723283930800e-01,  2.4413293529937218e-02, -7.3511745699452302e-01, -1.7463108172922105e-02,  1.2608559818781202e+00,  2.2001167652001019e-01,  1.3568301966019399e+02
     9,  6.6121e-01,  7.4424393075616235e-01,  6.8473404898050216e-03, -7.4618196223024702e-01, -1.0201657914589840e-03,  1.2415953125313779e+00,  2.2825249505970152e-01,  1.2770819122890254e+02
    10,  7.2699e-01,  7.4011013904741108e-01,  2.1717757224562939e-03, -7.5240541332480870e-01,  1.3256132574912085e-03,  1.2397541128594916e+00,  2.2877720793713741e-01,  1.2626264012171008e+02
    11,  7.9361e-01,  7.4011015394857227e-01,  2.1717757224562939e-03, -7.5240541332480870e-01,  1.3256132574912085e-03,  1.2397541128594916e+00,  2.2877720793713741e-01,  1.2626263942760353e+02
    12,  8.5990e-01,  7.4011013904741108e-01,  2.1717906236174878e-03, -7.5240541332480870e-01,  1.3256132574912085e-03,  1.2397541128594916e+00,  2.2877720793713741e-01,  1.2626264513813602e+02
    13,  9.2674e-01,  7.4011013904741108e-01,  2.1717757224562939e-03, -7.5240542822596990e-01,  1.3256132574912085e-03,  1.2397541128594916e+00,  2.2877720793713741e-01,  1.2626264077521877e+02
    14,  9.9155e-01,  7.4011013904741108e-01,  2.1717757224562939e-03, -7.5240541332480870e-01,  1.3256281586524023e-03,  1.2397541128594916e+00,  2.2877720793713741e-01,  1.2626264744379493e+02
    15,  1.0566e+00,  7.4011013904741108e-01,  2.1717757224562939e-03, -7.5240541332480870e-01,  1.3256132574912085e-03,  1.2397541313332674e+00,  2.2877720793713741e-01,  1.2626263863684784e+02
    16,  1.1269e+00,  7.4011013904741108e-01,  2.1717757224562939e-03, -7.5240541332480870e-01,  1.3256132574912085e-03,  1.2397541128594916e+00,  2.2877722283829860e-01,  1.2626264049119148e+02
    17,  1.1956e+00,  7.4025938403736347e-01,  1.5659425479872791e-03, -7.5222569630842495e-01, -1.2047340373820892e-03,  1.2407842935221718e+00,  2.2845874522732093e-01,  1.2650741999274406e+02
