       0.10000D+01       0.00000D+00      -0.38466D-01       0.65454D+00       0.00000D+00
       0.20000D+01       0.22767D-03      -0.22497D+00       0.61680D+00       0.15120D-01
       0.30000D+01       0.19778D-02      -0.45583D-01       0.60157D+00       0.20898D-01
       0.40000D+01       0.80544D-02      -0.79062D-02       0.61544D+00       0.18603D-01
       0.50000D+01       0.62991D-02      -0.15434D+00       0.61997D+00       0.27098D-01
       0.60000D+01       0.56434D-02      -0.13051D+00       0.60507D+00       0.27208D-01
       0.70000D+01       0.89080D-02      -0.90574D-02       0.60777D+00       0.24745D-01
       0.80000D+01       0.80106D-02      -0.46600D-01       0.61465D+00       0.22893D-01
       0.90000D+01       0.76029D-02      -0.23314D+00       0.60988D+00       0.24486D-01
       0.10000D+02       0.71557D-02      -0.53294D-01       0.60595D+00       0.25345D-01
       0.11000D+02       0.89498D-02      -0.14662D-01       0.61061D+00       0.24031D-01
       0.12000D+02       0.80889D-02      -0.15935D+00       0.61301D+00       0.22839D-01
       0.13000D+02       0.76527D-02      -0.13861D+00       0.60656D+00       0.22100D-01
       0.14000D+02       0.90984D-02      -0.16144D-01       0.60777D+00       0.21306D-01
       0.15000D+02       0.86106D-02      -0.52698D-01       0.61149D+00       0.20449D-01
       0.16000D+02       0.83631D-02      -0.23940D+00       0.60900D+00       0.21980D-01
       0.17000D+02       0.80081D-02      -0.59067D-01       0.60671D+00       0.23124D-01
       0.18000D+02       0.90902D-02      -0.19489D-01       0.60951D+00       0.21763D-01
       0.19000D+02       0.85235D-02      -0.16244D+00       0.61112D+00       0.20947D-01
       0.20000D+02       0.82204D-02      -0.14481D+00       0.60700D+00       0.20541D-01
       0.21000D+02       0.91203D-02      -0.21251D-01       0.60777D+00       0.20088D-01
       0.22000D+02       0.88034D-02      -0.56747D-01       0.61032D+00       0.19172D-01
       0.23000D+02       0.86258D-02      -0.24372D+00       0.60865D+00       0.20175D-01
       0.24000D+02       0.83450D-02      -0.62888D-01       0.60702D+00       0.21030D-01
       0.25000D+02       0.91396D-02      -0.22374D-01       0.60902D+00       0.20388D-01
       0.26000D+02       0.87143D-02      -0.16362D+00       0.61024D+00       0.19822D-01
       0.27000D+02       0.84872D-02      -0.14909D+00       0.60721D+00       0.19466D-01
       0.28000D+02       0.91327D-02      -0.24374D-01       0.60777D+00       0.18966D-01
       0.29000D+02       0.88950D-02      -0.58741D-01       0.60971D+00       0.18577D-01
       0.30000D+02       0.87556D-02      -0.24610D+00       0.60847D+00       0.19415D-01
       0.31000D+02       0.85228D-02      -0.64746D-01       0.60720D+00       0.20089D-01
       0.32000D+02       0.91569D-02      -0.23308D-01       0.60875D+00       0.19717D-01
       0.33000D+02       0.88152D-02      -0.16287D+00       0.60973D+00       0.19421D-01
       0.34000D+02       0.86360D-02      -0.15146D+00       0.60734D+00       0.19179D-01
       0.35000D+02       0.91323D-02      -0.25513D-01       0.60777D+00       0.18714D-01
       0.36000D+02       0.89492D-02      -0.58675D-01       0.60934D+00       0.18382D-01
       0.37000D+02       0.88341D-02      -0.24654D+00       0.60835D+00       0.18892D-01
       0.38000D+02       0.86374D-02      -0.64639D-01       0.60731D+00       0.19452D-01
       0.39000D+02       0.91680D-02      -0.22286D-01       0.60857D+00       0.19224D-01
