        5        4        1     0.1059211241E-03
        6       16        1     0.7626383228E-03
        4        4        1     0.4232523004E-03
        5       10        1     0.2174710587E-02
        6       14        1     0.3796781429E-02
        7       38        2     0.7609628577E-03
        8       42        2     0.6705215787E-03
        9       46        2     0.5592521171E-03
       10       50        2     0.4964345652E-03
       11       54        2     0.4100355129E-03
       12       58        2     0.3586901563E-03
       13       60        2     0.2990641331E-03
       14       64        2     0.2733427423E-03
       15       68        2     0.2317598395E-03
       16       70        2     0.2037285896E-03
       17       74        2     0.1958784974E-03
       18       78        2     0.1857546572E-03
       19       82        2     0.1855640507E-03
       20       84        2     0.1778539498E-03
       21       86        2     0.1683894371E-03
       22       90        2     0.1683347357E-03
       23       94        2     0.1665934360E-03
       24       98        2     0.1698892221E-03
       25      102        2     0.1690107686E-03
       26      106        2     0.1733413610E-03
       27      110        2     0.1712468658E-03
       28      114        2     0.1698390756E-03
       29      118        2     0.1684009386E-03
       30      122        2     0.1620973180E-03
       31      128        2     0.1611133605E-03
       32      134        2     0.1613865571E-03
       33      138        2     0.1666417302E-03
       34      142        2     0.1800903831E-03
       35      146        2     0.1945951248E-03
       36      150        2     0.2199794265E-03
       37      154        2     0.2429398014E-03
       38      156        2     0.2756516581E-03
       39      160        2     0.3070643660E-03
       40      164        2     0.3455889364E-03
       41      168        2     0.3898292348E-03
       42      174        2     0.4512608118E-03
       42       12        1     0.1454067187E-03
       43      198        3     0.6500439024E-03
       44      202        3     0.7442034126E-03
        2       10        1     0.2018666116E-04
        3       12        1     0.1037119829E-04
        4       18        1     0.2658090672E-04
        5       22        1     0.4758885943E-05
        6       26        1     0.5701912100E-05
        7       32        1     0.1879326069E-04
        8       36        1     0.3188625922E-04
        9       40        1     0.2417425501E-04
       10       46        1     0.9811721449E-05
       11       48        1     0.7291798613E-06
       12       54        1     0.2598578172E-05
       13       58        1     0.1048056988E-04
       14       62        1     0.2332379492E-04
       15       68        1     0.4845032323E-04
       16       72        1     0.7025590405E-04
       17       74        1     0.8867348287E-04
       18       78        1     0.1063456524E-03
       19       80        1     0.1432014878E-03
       20       84        1     0.1507059671E-03
       21       88        1     0.1772139674E-03
       22       92        1     0.1881875984E-03
       23       96        1     0.2038928947E-03
       24      100        1     0.2100824535E-03
       25      102        1     0.2086460856E-03
       26      106        1     0.2160805063E-03
       27      110        1     0.2126416082E-03
       28      112        1     0.2184436225E-03
       29      114        1     0.2044496906E-03
       30      118        1     0.2022738675E-03
       31      120        1     0.2143809908E-03
       32      122        1     0.1989173896E-03
       33      126        1     0.2000781696E-03
       34      128        1     0.2113840253E-03
       35      132        1     0.2035201808E-03
       36      132        1     0.2087991039E-03
       37      136        1     0.2166357170E-03
       38      140        1     0.2147096923E-03
       39      142        1     0.2142760200E-03
       40      144        1     0.2246325733E-03
       41      148        1     0.2200668143E-03
       42      152        1     0.2170285068E-03
       43      154        1     0.2182489080E-03
       44      158        1     0.2179457849E-03
       45      162        1     0.2184974458E-03
        2        4        1     0.2041708835E-03
        3       10        1     0.8656722838E-03
        4       12        1     0.1308893522E-02
        5       18        1     0.1922784244E-02
        6       24        1     0.2124917711E-02
        7       32        1     0.1627055512E-02
        8       38        1     0.1112652569E-02
        9       42        1     0.7825759419E-03
       10       48        1     0.5602126842E-03
       11       52        1     0.4394475634E-03
       12       56        1     0.3814698019E-03
       13       60        1     0.3308989284E-03
       14       64        1     0.3056488665E-03
       15       66        1     0.2537634806E-03
       16       70        1     0.2259240700E-03
       17       74        1     0.2017118089E-03
       18       78        1     0.1795439081E-03
       19       82        1     0.1581062164E-03
       20       86        1     0.1462365949E-03
       21       86        1     0.1396162034E-03
       22       90        1     0.1324395134E-03
       23       94        1     0.1277861341E-03
       24       98        1     0.1271785795E-03
       25      102        1     0.1251107261E-03
       26      106        1     0.1267931607E-03
       27      110        1     0.1266722272E-03
       28      114        1     0.1296630262E-03
       29      118        1     0.1320798076E-03
       30      122        1     0.1366533579E-03
       31      126        1     0.1391279011E-03
       32      134        1     0.1388084884E-03
       33      140        1     0.1299343303E-03
       34      146        1     0.1154463498E-03
       35      148        1     0.1002108578E-03
       36      154        1     0.9779958434E-04
       37      158        1     0.9624525567E-04
       38      162        1     0.1078766155E-03
       39      168        1     0.1264338875E-03
       40      180        1     0.1922278796E-03
       41      186        1     0.2442808196E-03
       42      192        1     0.2857084258E-03
       43      196        1     0.3180405863E-03
       44      200        1     0.3434959791E-03
       45      206        1     0.3607723866E-03
       46      380        2     0.5747067962E-03
       47      384        2     0.5901930733E-03
       48      390        2     0.6122247579E-03
        2        8        1     0.2718349938E-04
        3       12        1     0.1355411357E-04
        4       16        1     0.2712444450E-04
        5       18        1     0.4480541376E-05
        6       24        1     0.1340014589E-07
        7       28        1     0.3337821917E-07
        8       36        1     0.1978137428E-05
        9       42        1     0.1358014648E-04
       10       48        1     0.1049879474E-04
       11       54        1     0.2022629130E-05
       12       58        1     0.5650026869E-06
       13       60        1     0.3772203764E-05
       14       64        1     0.1289379977E-04
       15       68        1     0.1547058151E-04
       16       72        1     0.2261886261E-04
       17       76        1     0.2481395398E-04
       18       78        1     0.2577718794E-04
       19       82        1     0.3441337811E-04
       20       84        1     0.3644425536E-04
       21       88        1     0.4410101575E-04
       22       92        1     0.4280871849E-04
       23       96        1     0.4677426094E-04
       24       98        1     0.4899939181E-04
       25      100        1     0.5134064400E-04
       26      104        1     0.5758833427E-04
       27      108        1     0.5224357209E-04
       28      110        1     0.4702453068E-04
       29      114        1     0.4697463522E-04
       30      118        1     0.4440027218E-04
