Problem type:
least_squares
nparams:
7
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),objective_function
    30,  2.3660e+00,  3.0694622443500996e-01,  1.8384564012165776e+00,  3.1709024739510261e-01,  1.0463154748736136e-01, -1.6162239022620983e-01, -1.4186332868256360e-01,  5.0859626164439184e+00,  1.2116117757274270e+02
    31,  2.4406e+00,  3.0694622443500996e-01,  1.8384564012165776e+00,  3.1709024739510261e-01,  1.0463154748736136e-01, -1.6162237532504864e-01, -1.4186334358372479e-01,  5.0859626164439184e+00,  1.2116117755441721e+02
    32,  2.5169e+00,  3.0694622443500996e-01,  1.8384564012165776e+00,  3.1709024739510261e-01,  1.0463154748736136e-01, -1.6162237532504864e-01, -1.4186332868256360e-01,  5.0859626922306669e+00,  1.2116117629522095e+02
    33,  2.5974e+00,  3.1125438937582817e-01,  1.9935161212748587e+00,  4.7011544368743130e-01,  5.1480081545682309e-02, -1.2106769484126116e-01, -1.0568755378543762e-01,  3.8638633674886753e+00,  1.1898375887387023e+02
    34,  2.6747e+00,  3.1125440427698936e-01,  1.9935161212748587e+00,  4.7011544368743130e-01,  5.1480081545682309e-02, -1.2106769484126116e-01, -1.0568755378543762e-01,  3.8638633674886753e+00,  1.1898375729056117e+02
    35,  2.7520e+00,  3.1125438937582817e-01,  1.9935161509805637e+00,  4.7011544368743130e-01,  5.1480081545682309e-02, -1.2106769484126116e-01, -1.0568755378543762e-01,  3.8638633674886753e+00,  1.1898375883192928e+02
    36,  2.8267e+00,  3.1125438937582817e-01,  1.9935161212748587e+00,  4.7011545858859249e-01,  5.1480081545682309e-02, -1.2106769484126116e-01, -1.0568755378543762e-01,  3.8638633674886753e+00,  1.1898375857066219e+02
    37,  2.9038e+00,  3.1125438937582817e-01,  1.9935161212748587e+00,  4.7011544368743130e-01,  5.1480096446843503e-02, -1.2106769484126116e-01, -1.0568755378543762e-01,  3.8638633674886753e+00,  1.1898375889447338e+02
    38,  2.9802e+00,  3.1125438937582817e-01,  1.9935161212748587e+00,  4.7011544368743130e-01,  5.1480081545682309e-02, -1.2106770974242236e-01, -1.0568755378543762e-01,  3.8638633674886753e+00,  1.1898375887787743e+02
    39,  3.0582e+00,  3.1125438937582817e-01,  1.9935161212748587e+00,  4.7011544368743130e-01,  5.1480081545682309e-02, -1.2106769484126116e-01, -1.0568756868659882e-01,  3.8638633674886753e+00,  1.1898375883805778e+02
    40,  3.1337e+00,  3.1125438937582817e-01,  1.9935161212748587e+00,  4.7011544368743130e-01,  5.1480081545682309e-02, -1.2106769484126116e-01, -1.0568755378543762e-01,  3.8638634250647264e+00,  1.1898375743028419e+02
    41,  3.2120e+00,  3.2137661090290626e-01,  1.9606995800679250e+00,  4.4313094227663014e-01,  3.4764919387546472e-02, -1.1644305220689724e-01, -1.2992074888984179e-01,  4.1702592034632762e+00,  1.1350709578585321e+02
    42,  3.2891e+00,  3.2137662580406745e-01,  1.9606995800679250e+00,  4.4313094227663014e-01,  3.4764919387546472e-02, -1.1644305220689724e-01, -1.2992074888984179e-01,  4.1702592034632762e+00,  1.1350709618707755e+02
    43,  3.3651e+00,  3.2137661090290626e-01,  1.9606996092846254e+00,  4.4313094227663014e-01,  3.4764919387546472e-02, -1.1644305220689724e-01, -1.2992074888984179e-01,  4.1702592034632762e+00,  1.1350709591902098e+02
    44,  3.4403e+00,  3.2137661090290626e-01,  1.9606995800679250e+00,  4.4313095717779133e-01,  3.4764919387546472e-02, -1.1644305220689724e-01, -1.2992074888984179e-01,  4.1702592034632762e+00,  1.1350709567471917e+02
    45,  3.5156e+00,  3.2137661090290626e-01,  1.9606995800679250e+00,  4.4313094227663014e-01,  3.4764934288707666e-02, -1.1644305220689724e-01, -1.2992074888984179e-01,  4.1702592034632762e+00,  1.1350709580581214e+02
    46,  3.5915e+00,  3.2137661090290626e-01,  1.9606995800679250e+00,  4.4313094227663014e-01,  3.4764919387546472e-02, -1.1644306710805843e-01, -1.2992074888984179e-01,  4.1702592034632762e+00,  1.1350709579019947e+02
    47,  3.6674e+00,  3.2137661090290626e-01,  1.9606995800679250e+00,  4.4313094227663014e-01,  3.4764919387546472e-02, -1.1644305220689724e-01, -1.2992076379100298e-01,  4.1702592034632762e+00,  1.1350709575921081e+02
    48,  3.7424e+00,  3.2137661090290626e-01,  1.9606995800679250e+00,  4.4313094227663014e-01,  3.4764919387546472e-02, -1.1644305220689724e-01, -1.2992074888984179e-01,  4.1702592656049804e+00,  1.1350709510963638e+02
    49,  3.8197e+00,  3.1942292167560926e-01,  1.8060824333511971e+00,  3.7936144755000362e-01, -5.6775540371351366e-03, -9.7470857698515129e-02, -1.2293835631120346e-01,  4.7674818028798764e+00,  1.1131091930991346e+02
    50,  3.8938e+00,  3.1942293657677046e-01,  1.8060824333511971e+00,  3.7936144755000362e-01, -5.6775540371351366e-03, -9.7470857698515129e-02, -1.2293835631120346e-01,  4.7674818028798764e+00,  1.1131092018009520e+02
    51,  3.9693e+00,  3.1942292167560926e-01,  1.8060824602639225e+00,  3.7936144755000362e-01, -5.6775540371351366e-03, -9.7470857698515129e-02, -1.2293835631120346e-01,  4.7674818028798764e+00,  1.1131091900937878e+02
    52,  4.0444e+00,  3.1942292167560926e-01,  1.8060824333511971e+00,  3.7936146245116481e-01, -5.6775540371351366e-03, -9.7470857698515129e-02, -1.2293835631120346e-01,  4.7674818028798764e+00,  1.1131091845651346e+02
    53,  4.1217e+00,  3.1942292167560926e-01,  1.8060824333511971e+00,  3.7936144755000362e-01, -5.6775689382963304e-03, -9.7470857698515129e-02, -1.2293835631120346e-01,  4.7674818028798764e+00,  1.1131091929907740e+02
    54,  4.1979e+00,  3.1942292167560926e-01,  1.8060824333511971e+00,  3.7936144755000362e-01, -5.6775540371351366e-03, -9.7470872599676323e-02, -1.2293835631120346e-01,  4.7674818028798764e+00,  1.1131091931370798e+02
    55,  4.2752e+00,  3.1942292167560926e-01,  1.8060824333511971e+00,  3.7936144755000362e-01, -5.6775540371351366e-03, -9.7470857698515129e-02, -1.2293837121236466e-01,  4.7674818028798764e+00,  1.1131091929209288e+02
    56,  4.3511e+00,  3.1942292167560926e-01,  1.8060824333511971e+00,  3.7936144755000362e-01, -5.6775540371351366e-03, -9.7470857698515129e-02, -1.2293835631120346e-01,  4.7674818739208913e+00,  1.1131091895332854e+02
    57,  4.4272e+00,  3.1703056675714431e-01,  1.9385222500305579e+00,  4.5247670444346466e-01, -4.5968116992542413e-02, -2.7293542222254052e-02, -1.7398705397871872e-01,  4.2047771149406072e+00,  1.1330982892207658e+02
    58,  4.5027e+00,  3.1722259967273209e-01,  1.8653624953853882e+00,  4.1191240073335933e-01, -2.5178753124301029e-02, -7.9627019201647789e-02, -1.4999498868257946e-01,  4.6418499222385359e+00,  1.1108701513804326e+02
    59,  4.5785e+00,  3.1722261457389328e-01,  1.8653624953853882e+00,  4.1191240073335933e-01, -2.5178753124301029e-02, -7.9627019201647789e-02, -1.4999498868257946e-01,  4.6418499222385359e+00,  1.1108701497630527e+02
    60,  4.6560e+00,  3.1722259967273209e-01,  1.8653625231814555e+00,  4.1191240073335933e-01, -2.5178753124301029e-02, -7.9627019201647789e-02, -1.4999498868257946e-01,  4.6418499222385359e+00,  1.1108701523122463e+02
    61,  4.7362e+00,  3.1722259967273209e-01,  1.8653624953853882e+00,  4.1191241563452052e-01, -2.5178753124301029e-02, -7.9627019201647789e-02, -1.4999498868257946e-01,  4.6418499222385359e+00,  1.1108701604098323e+02
    62,  4.8334e+00,  3.1722259967273209e-01,  1.8653624953853882e+00,  4.1191240073335933e-01, -2.5178768025462223e-02, -7.9627019201647789e-02, -1.4999498868257946e-01,  4.6418499222385359e+00,  1.1108701512423235e+02
    63,  4.9331e+00,  3.1722259967273209e-01,  1.8653624953853882e+00,  4.1191240073335933e-01, -2.5178753124301029e-02, -7.9627034102808983e-02, -1.4999498868257946e-01,  4.6418499222385359e+00,  1.1108701513993590e+02
    64,  5.0275e+00,  3.1722259967273209e-01,  1.8653624953853882e+00,  4.1191240073335933e-01, -2.5178753124301029e-02, -7.9627019201647789e-02, -1.4999500358374065e-01,  4.6418499222385359e+00,  1.1108701512798068e+02
    65,  5.1157e+00,  3.1722259967273209e-01,  1.8653624953853882e+00,  4.1191240073335933e-01, -2.5178753124301029e-02, -7.9627019201647789e-02, -1.4999498868257946e-01,  4.6418499914074900e+00,  1.1108701550843180e+02
    66,  5.1933e+00,  3.1785814488742814e-01,  1.8378140425012941e+00,  3.8949123286834825e-01, -3.1817239748332692e-02, -7.8377705989092425e-02, -1.4503909442529811e-01,  4.6473107140516063e+00,  1.1108168623681168e+02
    67,  5.2708e+00,  3.1785815978858933e-01,  1.8378140425012941e+00,  3.8949123286834825e-01, -3.1817239748332692e-02, -7.8377705989092425e-02, -1.4503909442529811e-01,  4.6473107140516063e+00,  1.1108168651593249e+02
    68,  5.3475e+00,  3.1785814488742814e-01,  1.8378140698868575e+00,  3.8949123286834825e-01, -3.1817239748332692e-02, -7.8377705989092425e-02, -1.4503909442529811e-01,  4.6473107140516063e+00,  1.1108168617548294e+02
    69,  5.4258e+00,  3.1785814488742814e-01,  1.8378140425012941e+00,  3.8949124776950944e-01, -3.1817239748332692e-02, -7.8377705989092425e-02, -1.4503909442529811e-01,  4.6473107140516063e+00,  1.1108168529547895e+02
    70,  5.5012e+00,  3.1785814488742814e-01,  1.8378140425012941e+00,  3.8949123286834825e-01, -3.1817254649493885e-02, -7.8377705989092425e-02, -1.4503909442529811e-01,  4.6473107140516063e+00,  1.1108168623446218e+02
    71,  5.5755e+00,  3.1785814488742814e-01,  1.8378140425012941e+00,  3.8949123286834825e-01, -3.1817239748332692e-02, -7.8377720890253619e-02, -1.4503909442529811e-01,  4.6473107140516063e+00,  1.1108168623969954e+02
    72,  5.6504e+00,  3.1785814488742814e-01,  1.8378140425012941e+00,  3.8949123286834825e-01, -3.1817239748332692e-02, -7.8377705989092425e-02, -1.4503910932645930e-01,  4.6473107140516063e+00,  1.1108168623300877e+02
    73,  5.7250e+00,  3.1785814488742814e-01,  1.8378140425012941e+00,  3.8949123286834825e-01, -3.1817239748332692e-02, -7.8377705989092425e-02, -1.4503909442529811e-01,  4.6473107833019327e+00,  1.1108168579726969e+02
    74,  5.8025e+00,  3.1634096752255147e-01,  1.8389981267896489e+00,  3.9845445847388672e-01, -3.1866581915134334e-02, -7.8321226621500303e-02, -1.4512905646716434e-01,  4.6483453983545626e+00,  1.1074613780444021e+02
    75,  5.8778e+00,  3.1634098242371267e-01,  1.8389981267896489e+00,  3.9845445847388672e-01, -3.1866581915134334e-02, -7.8321226621500303e-02, -1.4512905646716434e-01,  4.6483453983545626e+00,  1.1074613778180492e+02
    76,  5.9536e+00,  3.1634096752255147e-01,  1.8389981541928564e+00,  3.9845445847388672e-01, -3.1866581915134334e-02, -7.8321226621500303e-02, -1.4512905646716434e-01,  4.6483453983545626e+00,  1.1074613770551524e+02
    77,  6.0300e+00,  3.1634096752255147e-01,  1.8389981267896489e+00,  3.9845447337504791e-01, -3.1866581915134334e-02, -7.8321226621500303e-02, -1.4512905646716434e-01,  4.6483453983545626e+00,  1.1074613769411722e+02
    78,  6.1085e+00,  3.1634096752255147e-01,  1.8389981267896489e+00,  3.9845445847388672e-01, -3.1866596816295528e-02, -7.8321226621500303e-02, -1.4512905646716434e-01,  4.6483453983545626e+00,  1.1074613779770640e+02
    79,  6.1908e+00,  3.1634096752255147e-01,  1.8389981267896489e+00,  3.9845445847388672e-01, -3.1866581915134334e-02, -7.8321241522661497e-02, -1.4512905646716434e-01,  4.6483453983545626e+00,  1.1074613780691730e+02
    80,  6.2747e+00,  3.1634096752255147e-01,  1.8389981267896489e+00,  3.9845445847388672e-01, -3.1866581915134334e-02, -7.8321226621500303e-02, -1.4512907136832554e-01,  4.6483453983545626e+00,  1.1074613779895984e+02
    81,  6.3550e+00,  3.1634096752255147e-01,  1.8389981267896489e+00,  3.9845445847388672e-01, -3.1866581915134334e-02, -7.8321226621500303e-02, -1.4512905646716434e-01,  4.6483454676203069e+00,  1.1074613768176749e+02
    82,  6.4339e+00,  3.1699693169013998e-01,  1.8468159431818965e+00,  4.0126061456727380e-01, -3.3487339770322366e-02, -7.7626938931176559e-02, -1.4663118063562772e-01,  4.6515608707562910e+00,  1.1072350125640268e+02
    83,  6.5122e+00,  3.1699694659130118e-01,  1.8468159431818965e+00,  4.0126061456727380e-01, -3.3487339770322366e-02, -7.7626938931176559e-02, -1.4663118063562772e-01,  4.6515608707562910e+00,  1.1072350124337856e+02
    84,  6.5884e+00,  3.1699693169013998e-01,  1.8468159707015985e+00,  4.0126061456727380e-01, -3.3487339770322366e-02, -7.7626938931176559e-02, -1.4663118063562772e-01,  4.6515608707562910e+00,  1.1072350122542015e+02
    85,  6.6662e+00,  3.1699693169013998e-01,  1.8468159431818965e+00,  4.0126062946843499e-01, -3.3487339770322366e-02, -7.7626938931176559e-02, -1.4663118063562772e-01,  4.6515608707562910e+00,  1.1072350137578537e+02
    86,  6.7416e+00,  3.1699693169013998e-01,  1.8468159431818965e+00,  4.0126061456727380e-01, -3.3487354671483560e-02, -7.7626938931176559e-02, -1.4663118063562772e-01,  4.6515608707562910e+00,  1.1072350124896097e+02
    87,  6.8191e+00,  3.1699693169013998e-01,  1.8468159431818965e+00,  4.0126061456727380e-01, -3.3487339770322366e-02, -7.7626953832337753e-02, -1.4663118063562772e-01,  4.6515608707562910e+00,  1.1072350125887573e+02
    88,  6.8937e+00,  3.1699693169013998e-01,  1.8468159431818965e+00,  4.0126061456727380e-01, -3.3487339770322366e-02, -7.7626938931176559e-02, -1.4663119553678891e-01,  4.6515608707562910e+00,  1.1072350125065989e+02
    89,  6.9695e+00,  3.1699693169013998e-01,  1.8468159431818965e+00,  4.0126061456727380e-01, -3.3487339770322366e-02, -7.7626938931176559e-02, -1.4663118063562772e-01,  4.6515609400699489e+00,  1.1072350126112312e+02
    90,  7.0469e+00,  3.1733567837798277e-01,  1.8461442573628049e+00,  3.9843280483090904e-01, -3.8736151260702796e-02, -7.5486425993415651e-02, -1.4923002329478049e-01,  4.6576992227688327e+00,  1.1071599166285921e+02
    91,  7.1240e+00,  3.1733569327914396e-01,  1.8461442573628049e+00,  3.9843280483090904e-01, -3.8736151260702796e-02, -7.5486425993415651e-02, -1.4923002329478049e-01,  4.6576992227688327e+00,  1.1071599169881901e+02
    92,  7.2009e+00,  3.1733567837798277e-01,  1.8461442848724980e+00,  3.9843280483090904e-01, -3.8736151260702796e-02, -7.5486425993415651e-02, -1.4923002329478049e-01,  4.6576992227688327e+00,  1.1071599165588088e+02
    93,  7.2767e+00,  3.1733567837798277e-01,  1.8461442573628049e+00,  3.9843281973207023e-01, -3.8736151260702796e-02, -7.5486425993415651e-02, -1.4923002329478049e-01,  4.6576992227688327e+00,  1.1071599156763504e+02
    94,  7.3533e+00,  3.1733567837798277e-01,  1.8461442573628049e+00,  3.9843280483090904e-01, -3.8736166161863990e-02, -7.5486425993415651e-02, -1.4923002329478049e-01,  4.6576992227688327e+00,  1.1071599165805725e+02
    95,  7.4296e+00,  3.1733567837798277e-01,  1.8461442573628049e+00,  3.9843280483090904e-01, -3.8736151260702796e-02, -7.5486440894576845e-02, -1.4923002329478049e-01,  4.6576992227688327e+00,  1.1071599166538074e+02
    96,  7.5057e+00,  3.1733567837798277e-01,  1.8461442573628049e+00,  3.9843280483090904e-01, -3.8736151260702796e-02, -7.5486425993415651e-02, -1.4923003819594169e-01,  4.6576992227688327e+00,  1.1071599165967720e+02
    97,  7.5824e+00,  3.1733567837798277e-01,  1.8461442573628049e+00,  3.9843280483090904e-01, -3.8736151260702796e-02, -7.5486425993415651e-02, -1.4923002329478049e-01,  4.6576992921739597e+00,  1.1071599159819580e+02
    98,  7.6618e+00,  3.1723292650722323e-01,  1.8478280978960764e+00,  4.0025207479530256e-01, -4.3933614374614405e-02, -7.1996794200103589e-02, -1.5235783147784782e-01,  4.6631762318397714e+00,  1.1071163253148367e+02
    99,  7.7418e+00,  3.1723294140838443e-01,  1.8478280978960764e+00,  4.0025207479530256e-01, -4.3933614374614405e-02, -7.1996794200103589e-02, -1.5235783147784782e-01,  4.6631762318397714e+00,  1.1071163251357193e+02
   100,  7.8189e+00,  3.1723292650722323e-01,  1.8478281254308608e+00,  4.0025207479530256e-01, -4.3933614374614405e-02, -7.1996794200103589e-02, -1.5235783147784782e-01,  4.6631762318397714e+00,  1.1071163254061237e+02
   101,  7.8960e+00,  3.1723292650722323e-01,  1.8478280978960764e+00,  4.0025208969646375e-01, -4.3933614374614405e-02, -7.1996794200103589e-02, -1.5235783147784782e-01,  4.6631762318397714e+00,  1.1071163262480185e+02
   102,  7.9714e+00,  3.1723292650722323e-01,  1.8478280978960764e+00,  4.0025207479530256e-01, -4.3933629275775599e-02, -7.1996794200103589e-02, -1.5235783147784782e-01,  4.6631762318397714e+00,  1.1071163252697211e+02
   103,  8.0468e+00,  3.1723292650722323e-01,  1.8478280978960764e+00,  4.0025207479530256e-01, -4.3933614374614405e-02, -7.1996809101264783e-02, -1.5235783147784782e-01,  4.6631762318397714e+00,  1.1071163253372566e+02
   104,  8.1270e+00,  3.1723292650722323e-01,  1.8478280978960764e+00,  4.0025207479530256e-01, -4.3933614374614405e-02, -7.1996794200103589e-02, -1.5235784637900901e-01,  4.6631762318397714e+00,  1.1071163252937410e+02
   105,  8.2029e+00,  3.1723292650722323e-01,  1.8478280978960764e+00,  4.0025207479530256e-01, -4.3933614374614405e-02, -7.1996794200103589e-02, -1.5235783147784782e-01,  4.6631763013265122e+00,  1.1071163255738675e+02
   106,  8.2811e+00,  3.1727501016522175e-01,  1.8439534262823518e+00,  3.9750069435837254e-01, -4.8944016467521306e-02, -6.8893816871276506e-02, -1.5292119037123145e-01,  4.6684195770718331e+00,  1.1070947087532488e+02
   107,  8.3573e+00,  3.1727502506638294e-01,  1.8439534262823518e+00,  3.9750069435837254e-01, -4.8944016467521306e-02, -6.8893816871276506e-02, -1.5292119037123145e-01,  4.6684195770718331e+00,  1.1070947090186712e+02
   108,  8.4334e+00,  3.1727501016522175e-01,  1.8439534537593991e+00,  3.9750069435837254e-01, -4.8944016467521306e-02, -6.8893816871276506e-02, -1.5292119037123145e-01,  4.6684195770718331e+00,  1.1070947086691481e+02
   109,  8.5088e+00,  3.1727501016522175e-01,  1.8439534262823518e+00,  3.9750070925953374e-01, -4.8944016467521306e-02, -6.8893816871276506e-02, -1.5292119037123145e-01,  4.6684195770718331e+00,  1.1070947077527940e+02
   110,  8.5876e+00,  3.1727501016522175e-01,  1.8439534262823518e+00,  3.9750069435837254e-01, -4.8944031368682500e-02, -6.8893816871276506e-02, -1.5292119037123145e-01,  4.6684195770718331e+00,  1.1070947087298252e+02
   111,  8.6646e+00,  3.1727501016522175e-01,  1.8439534262823518e+00,  3.9750069435837254e-01, -4.8944016467521306e-02, -6.8893831772437700e-02, -1.5292119037123145e-01,  4.6684195770718331e+00,  1.1070947087743519e+02
   112,  8.7433e+00,  3.1727501016522175e-01,  1.8439534262823518e+00,  3.9750069435837254e-01, -4.8944016467521306e-02, -6.8893816871276506e-02, -1.5292120527239264e-01,  4.6684195770718331e+00,  1.1070947087463250e+02
   113,  8.8257e+00,  3.1727501016522175e-01,  1.8439534262823518e+00,  3.9750069435837254e-01, -4.8944016467521306e-02, -6.8893816871276506e-02, -1.5292119037123145e-01,  4.6684196466367061e+00,  1.1070947082121357e+02
   114,  8.9029e+00,  3.1709911028841381e-01,  1.8450879628047150e+00,  3.9937328152336604e-01, -4.9269147751018406e-02, -6.8602656445534288e-02, -1.5309926600775242e-01,  4.6689426275759072e+00,  1.1070674305788305e+02
   115,  8.9869e+00,  3.1709912518957500e-01,  1.8450879628047150e+00,  3.9937328152336604e-01, -4.9269147751018406e-02, -6.8602656445534288e-02, -1.5309926600775242e-01,  4.6689426275759072e+00,  1.1070674303850900e+02
   116,  9.0702e+00,  3.1709911028841381e-01,  1.8450879902986681e+00,  3.9937328152336604e-01, -4.9269147751018406e-02, -6.8602656445534288e-02, -1.5309926600775242e-01,  4.6689426275759072e+00,  1.1070674305025891e+02
   117,  9.1522e+00,  3.1709911028841381e-01,  1.8450879628047150e+00,  3.9937329642452724e-01, -4.9269147751018406e-02, -6.8602656445534288e-02, -1.5309926600775242e-01,  4.6689426275759072e+00,  1.1070674312443600e+02
   118,  9.2341e+00,  3.1709911028841381e-01,  1.8450879628047150e+00,  3.9937328152336604e-01, -4.9269162652179600e-02, -6.8602656445534288e-02, -1.5309926600775242e-01,  4.6689426275759072e+00,  1.1070674305468749e+02
