Problem type:
least_squares
nparams:
7
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),objective_function
     0,  7.7511e-02,  3.4289658802296114e-01,  1.2659633661263445e+00,  3.9247426483408071e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299898171285054e+02
     1,  1.4991e-01,  3.4289660292412233e-01,  1.2659633661263445e+00,  3.9247426483408071e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299910605680191e+02
     2,  2.2143e-01,  3.4289658802296114e-01,  1.2659633849906686e+00,  3.9247426483408071e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299893348578496e+02
     3,  2.9350e-01,  3.4289658802296114e-01,  1.2659633661263445e+00,  3.9247427973524190e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299907631287897e+02
     4,  3.6714e-01,  3.4289658802296114e-01,  1.2659633661263445e+00,  3.9247426483408071e-01, -1.0573555216746375e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299898204768976e+02
     5,  4.4013e-01,  3.4289658802296114e-01,  1.2659633661263445e+00,  3.9247426483408071e-01, -1.0573555059188127e+00,  2.2776714166221455e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299898218784756e+02
     6,  5.1329e-01,  3.4289658802296114e-01,  1.2659633661263445e+00,  3.9247426483408071e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090485886319712e-01,  3.9479847493340290e+00,  6.4299898226141647e+02
     7,  5.8425e-01,  3.4289658802296114e-01,  1.2659633661263445e+00,  3.9247426483408071e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479848081635862e+00,  6.4299900409346355e+02
     8,  6.6212e-01,  2.6833625779001852e-01,  1.3088880000526721e+00,  3.3652947750979068e-01, -2.6461492676225418e-01, -2.5427807268400349e-01, -1.1351884018715708e-01,  4.5825808874077518e+00,  1.9876214466349248e+02
     9,  7.3817e-01,  2.6833627269117971e-01,  1.3088880000526721e+00,  3.3652947750979068e-01, -2.6461492676225418e-01, -2.5427807268400349e-01, -1.1351884018715708e-01,  4.5825808874077518e+00,  1.9876215107361080e+02
    10,  8.1498e-01,  2.6833625779001852e-01,  1.3088880195566233e+00,  3.3652947750979068e-01, -2.6461492676225418e-01, -2.5427807268400349e-01, -1.1351884018715708e-01,  4.5825808874077518e+00,  1.9876213569121776e+02
    11,  8.9180e-01,  2.6833625779001852e-01,  1.3088880000526721e+00,  3.3652949241095187e-01, -2.6461492676225418e-01, -2.5427807268400349e-01, -1.1351884018715708e-01,  4.5825808874077518e+00,  1.9876215155822405e+02
    12,  9.7150e-01,  2.6833625779001852e-01,  1.3088880000526721e+00,  3.3652947750979068e-01, -2.6461494166341537e-01, -2.5427807268400349e-01, -1.1351884018715708e-01,  4.5825808874077518e+00,  1.9876214475115930e+02
    13,  1.0560e+00,  2.6833625779001852e-01,  1.3088880000526721e+00,  3.3652947750979068e-01, -2.6461492676225418e-01, -2.5427808758516468e-01, -1.1351884018715708e-01,  4.5825808874077518e+00,  1.9876214468877168e+02
    14,  1.1407e+00,  2.6833625779001852e-01,  1.3088880000526721e+00,  3.3652947750979068e-01, -2.6461492676225418e-01, -2.5427807268400349e-01, -1.1351885508831827e-01,  4.5825808874077518e+00,  1.9876214457613088e+02
    15,  1.2191e+00,  2.6833625779001852e-01,  1.3088880000526721e+00,  3.3652947750979068e-01, -2.6461492676225418e-01, -2.5427807268400349e-01, -1.1351884018715708e-01,  4.5825809556935280e+00,  1.9876214357046055e+02
    16,  1.2950e+00,  2.9884605973338507e-01,  1.4237617892763070e+00,  2.1474982313129892e-01,  9.7714689520264741e-02, -1.6691998938212663e-01, -2.0015061228595885e-01,  6.2524958126494985e+00,  1.6629293438318197e+02
    17,  1.3715e+00,  2.9884607463454627e-01,  1.4237617892763070e+00,  2.1474982313129892e-01,  9.7714689520264741e-02, -1.6691998938212663e-01, -2.0015061228595885e-01,  6.2524958126494985e+00,  1.6629293554606883e+02
    18,  1.4475e+00,  2.9884605973338507e-01,  1.4237618104920109e+00,  2.1474982313129892e-01,  9.7714689520264741e-02, -1.6691998938212663e-01, -2.0015061228595885e-01,  6.2524958126494985e+00,  1.6629293275326444e+02
    19,  1.5240e+00,  2.9884605973338507e-01,  1.4237617892763070e+00,  2.1474983803246012e-01,  9.7714689520264741e-02, -1.6691998938212663e-01, -2.0015061228595885e-01,  6.2524958126494985e+00,  1.6629291499048765e+02
    20,  1.5999e+00,  2.9884605973338507e-01,  1.4237617892763070e+00,  2.1474982313129892e-01,  9.7714704421425935e-02, -1.6691998938212663e-01, -2.0015061228595885e-01,  6.2524958126494985e+00,  1.6629293436301785e+02
    21,  1.6767e+00,  2.9884605973338507e-01,  1.4237617892763070e+00,  2.1474982313129892e-01,  9.7714689520264741e-02, -1.6692000428328782e-01, -2.0015061228595885e-01,  6.2524958126494985e+00,  1.6629293439203050e+02
    22,  1.7536e+00,  2.9884605973338507e-01,  1.4237617892763070e+00,  2.1474982313129892e-01,  9.7714689520264741e-02, -1.6691998938212663e-01, -2.0015062718712004e-01,  6.2524958126494985e+00,  1.6629293438207151e+02
    23,  1.8293e+00,  2.9884605973338507e-01,  1.4237617892763070e+00,  2.1474982313129892e-01,  9.7714689520264741e-02, -1.6691998938212663e-01, -2.0015061228595885e-01,  6.2524959058189467e+00,  1.6629293025277315e+02
    24,  1.9117e+00,  3.1117014929478626e-01,  2.1102854465127816e+00,  4.5699645656519017e-01,  1.3194644948292117e-01, -1.7798720652699601e-01, -1.5665173903307891e-01,  1.3316011326184487e+00,  4.2352807508409878e+03
    25,  1.9871e+00,  3.0694622443500996e-01,  1.8384564012165776e+00,  3.1709024739510261e-01,  1.0463154748736136e-01, -1.6162237532504864e-01, -1.4186332868256360e-01,  5.0859626164439184e+00,  1.2116117756160436e+02
    26,  2.0667e+00,  3.0694623933617116e-01,  1.8384564012165776e+00,  3.1709024739510261e-01,  1.0463154748736136e-01, -1.6162237532504864e-01, -1.4186332868256360e-01,  5.0859626164439184e+00,  1.2116117555197094e+02
    27,  2.1409e+00,  3.0694622443500996e-01,  1.8384564286117129e+00,  3.1709024739510261e-01,  1.0463154748736136e-01, -1.6162237532504864e-01, -1.4186332868256360e-01,  5.0859626164439184e+00,  1.2116117814988864e+02
    28,  2.2154e+00,  3.0694622443500996e-01,  1.8384564012165776e+00,  3.1709026229626380e-01,  1.0463154748736136e-01, -1.6162237532504864e-01, -1.4186332868256360e-01,  5.0859626164439184e+00,  1.2116117235924138e+02
    29,  2.2898e+00,  3.0694622443500996e-01,  1.8384564012165776e+00,  3.1709024739510261e-01,  1.0463156238852256e-01, -1.6162237532504864e-01, -1.4186332868256360e-01,  5.0859626164439184e+00,  1.2116117756781257e+02
