Problem type:
least_squares
nparams:
7
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),objective_function,F(0),F(1),F(2),F(3),F(4),F(5),F(6),F(7),F(8),F(9),F(10),F(11),F(12),F(13),F(14),F(15),F(16),F(17),F(18),F(19),F(20),F(21),F(22),F(23),F(24),F(25),F(26),F(27),F(28),F(29),F(30),F(31),F(32),F(33),F(34),F(35),F(36),F(37),F(38),F(39),F(40),F(41),F(42),F(43),F(44),F(45),F(46),F(47),F(48),F(49),F(50),F(51),F(52),F(53),F(54),F(55),F(56),F(57),F(58),F(59),F(60),F(61),F(62),F(63),F(64),F(65),F(66),F(67),F(68),F(69),F(70),F(71),F(72),F(73),F(74),F(75),F(76),F(77),F(78),F(79),F(80),F(81),F(82),F(83),F(84),F(85),F(86),F(87),F(88),F(89),F(90),F(91),F(92),F(93),F(94),F(95),F(96),F(97),F(98),F(99),F(100),F(101),F(102),F(103),F(104),F(105),F(106),F(107),F(108),F(109),F(110),F(111),F(112),F(113),F(114),F(115),F(116),F(117),F(118),F(119),F(120),F(121),F(122),F(123),F(124),F(125),F(126),F(127),F(128),F(129),F(130),F(131),F(132),F(133),F(134),F(135),F(136),F(137),F(138),F(139),F(140),F(141),F(142),F(143),F(144),F(145),F(146),F(147),F(148),F(149),F(150),F(151),F(152),F(153),F(154),F(155),F(156),F(157),F(158),F(159),F(160),F(161),F(162),F(163),F(164),F(165),F(166),F(167),F(168),F(169),F(170),F(171),F(172),F(173),F(174),F(175),F(176),F(177),F(178),F(179),F(180),F(181),F(182)
     0,  7.7580e-02,  3.4289658802296114e-01,  1.2659633661263445e+00,  3.9247426483408071e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299898171285054e+02,  5.8458887873536831e+00,  6.1476441071129777e+00,  6.5480660469552667e+00,  6.9230718367245876e+00,  6.7756630907564048e+00,  5.2194351007506672e+00,  8.4999163854494109e-01, -6.8926240204140354e+00, -1.6526531989574284e+01, -2.3378393386089435e+01, -2.3329699931517364e+01, -1.6428604256571706e+01, -7.5141232422476136e+00, -9.4879729863866280e-01,  1.6049852995294436e+00,  5.6917782857800980e-01, -6.9646174128436411e-01, -1.9047098004628953e+00, -2.8470081568709067e+00, -3.5220079751391000e+00, -3.9241897631651548e+00, -4.1022455337705734e+00, -4.0953961235924439e+00, -3.9476446773944756e+00, -3.6983427771764434e+00, -3.3777445834729085e+00, -3.0188486323557697e+00, -2.6459556564684124e+00, -2.2974177627725823e+00, -2.0161165338363434e+00, -1.8776388187279371e+00, -1.9802227586746022e+00, -2.4571689802007315e+00, -3.4172069319020646e+00, -4.8698887178567762e+00, -6.6002254071789119e+00, -8.1836322313671275e+00, -9.1437258578831315e+00, -9.2337064055660871e+00, -8.5420790148472765e+00, -7.3978826170073084e+00, -6.1541578811687634e+00, -5.0533605495203391e+00, -4.2065917919749314e+00, -3.6323499791244216e+00, -3.3195882262019696e+00, -3.2510463644082561e+00, -3.4331118003712939e+00, -3.8747481347475059e+00, -4.5792039811288525e+00, -5.4815567682515063e+00, -6.4125994010437406e+00, -7.0779554436566130e+00, -7.1573501640289283e+00, -6.4914678875095575e+00, -5.2272422752615011e+00, -3.7778496243191695e+00, -2.5629460117870599e+00, -1.8133899253985930e+00, -1.5044443290466107e+00, -1.4921404001183525e+00, -1.6028608337722765e+00, -1.7292050496400020e+00, -1.8052489343950580e+00, -1.8177945075206461e+00, -1.7553719434506123e+00, -1.6218646054627608e+00, -1.4050802624008512e+00, -1.0972715906874240e+00, -6.7933167135524020e-01, -1.3402001659366858e-01,  5.5300146233221192e-01,  1.3991982494373958e+00,  2.3873936432768299e+00,  3.5090575611358745e+00,  4.5952091909505821e+00,  5.5760227153141813e+00,  4.1059964143458423e+00, -1.8748663079102728e+00, -1.1027543867038455e+01, -1.9954840189921033e+01, -2.3378127067186544e+01, -1.9161291506265339e+01, -1.0453929256833485e+01, -2.1063298212712902e+00,  3.1680796018496133e+00,  5.4784769220912795e+00,  6.0186714339438652e+00,  5.9021893700884425e+00,  5.7116793646263240e+00,  5.6928358947181996e+00, -4.5094027579362139e+00, -4.6675915583086649e+00, -4.5022339206551640e+00, -3.8392086835947676e+00, -2.7149628795766265e+00, -1.6130472694037432e+00, -1.8005278185387104e+00, -4.4013119552952942e+00, -9.3143316046329332e+00, -1.3517123706622383e+01, -1.3686515236743869e+01, -9.0751661836408370e+00, -2.8729252739114957e+00,  1.8070390996572299e+00,  3.7084280930559084e+00,  3.1590490858914135e+00,  2.4126288915622158e+00,  1.6697232951393288e+00,  1.0515933076806332e+00,  5.6771650591036160e-01,  2.1616090878111077e-01, -1.1042576117262559e-02, -1.4172625721389254e-01, -1.8007456416001588e-01, -1.6329134482644747e-01, -9.4246980695972371e-02, -1.6051861301316084e-02,  7.0246300399779749e-02,  1.2540203183092413e-01,  1.6741623537799399e-01,  1.9790275392961254e-01,  3.1273541333786525e-01,  6.2297390145721709e-01,  1.3205336850133613e+00,  2.4865905135335407e+00,  4.0387291834219745e+00,  5.5737654767228895e+00,  6.5998733895423598e+00,  6.7512003066454040e+00,  6.0523702081967290e+00,  4.7895253035213976e+00,  3.3465205985566957e+00,  1.9938347935719716e+00,  8.7850070089644916e-01,  3.5966711929768858e-02, -5.3303976158196265e-01, -8.3950037058711291e-01, -8.7526948671542781e-01, -6.3113142882816908e-01, -1.1383605260981056e-01,  5.9211339651114892e-01,  1.2881256704043915e+00,  1.6533709783787800e+00,  1.3837012041011545e+00,  3.8012267040526138e-01, -1.0979792167169924e+00, -2.5765645507391506e+00, -3.6235201847324858e+00, -4.0912735120111927e+00, -4.0626118389649495e+00, -3.7462614478511407e+00, -3.3082747677941580e+00, -2.8678775689813625e+00, -2.4574960470211122e+00, -2.0922829877694338e+00, -1.7421213490022782e+00, -1.3926384097851963e+00, -1.0028998079162261e+00, -5.5729389782813565e-01, -2.0035593458502032e-02,  6.1954609958040785e-01,  1.3861624869298619e+00,  2.2842862291792603e+00,  3.3128462412422048e+00,  4.4524875088046620e+00,  5.5875702084875263e+00,  6.6354082594036496e+00,  5.9834642628647714e+00,  2.1591733820183605e+00, -3.9191764880581896e+00, -9.7451629603243752e+00, -1.1695742490055691e+01, -8.8431965598972422e+00, -4.0465900001192185e+00, -6.7489417651887562e-01,  1.3935167945971405e-01, -7.0043100530665847e-01, -1.9576066993584706e+00, -2.9781598020612501e+00, -3.6613643271595380e+00, -4.1589736186934632e+00,  1.2659633661263445e+00
     1,  1.4996e-01,  3.4289660292412233e-01,  1.2659633661263445e+00,  3.9247426483408071e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299910605680191e+02,  5.8458887361338991e+00,  6.1476440951270819e+00,  6.5480661441148467e+00,  6.9230721322184152e+00,  6.7756636538504704e+00,  5.2194358726221726e+00,  8.4999226694837660e-01, -6.8926242004686014e+00, -1.6526533594413898e+01, -2.3378396289545321e+01, -2.3329703108398355e+01, -1.6428606529295671e+01, -7.5141241985283749e+00, -9.4879728727773183e-01,  1.6049856977370434e+00,  5.6917820438313993e-01, -6.9646146624038097e-01, -1.9047096399651844e+00, -2.8470080917210909e+00, -3.5220079828444892e+00, -3.9241898199185736e+00, -4.1022456211130249e+00, -4.0953962249600346e+00, -3.9476447802419532e+00, -3.6983428701390491e+00, -3.3777446578642678e+00, -3.0188486800446586e+00, -2.6459556718696504e+00, -2.2974177423643343e+00, -2.0161164810517467e+00, -1.8776387479140686e+00, -1.9802227051533496e+00, -2.4571690062668390e+00, -3.4172071226954124e+00, -4.8698891445690764e+00, -6.6002260628973550e+00, -8.1836329853637633e+00, -9.1437264926222532e+00, -9.2337067294379516e+00, -8.5420789568163933e+00, -7.3978822317821589e+00, -6.1541572851563764e+00, -5.0533598537295958e+00, -4.2065910692224975e+00, -3.6323492617814255e+00, -3.3195875192819031e+00, -3.2510456604621316e+00, -3.4331110957388531e+00, -3.8747474443473484e+00, -4.5792033543844495e+00, -5.4815562939592519e+00, -6.4125991897166266e+00, -7.0779555718582667e+00, -7.1573506069632451e+00, -6.4914684952471102e+00, -5.2272428414519068e+00, -3.7778500003788213e+00, -2.5629461700125376e+00, -1.8133899303007868e+00, -1.5044442682517332e+00, -1.4921403371236004e+00, -1.6028607980215630e+00, -1.7292050473171168e+00, -1.8052489616352836e+00, -1.8177945580365518e+00, -1.7553720112203246e+00, -1.6218646842767526e+00, -1.4050803450293627e+00, -1.0972716674440153e+00, -6.7933172984291423e-01, -1.3402004047390814e-01,  5.5300149246985475e-01,  1.3991983576182536e+00,  2.3873938544133440e+00,  3.5090578995632020e+00,  4.5952096584879030e+00,  5.5760232729440897e+00,  4.1059967859700315e+00, -1.8748666991266667e+00, -1.1027545512945363e+01, -1.9954842987528135e+01, -2.3378130043057553e+01, -1.9161293463771599e+01, -1.0453929743732161e+01, -2.1063292692785547e+00,  3.1680804813473431e+00,  5.4784776629484977e+00,  6.0186718921095768e+00,  5.9021895827257689e+00,  5.7116794165319700e+00,  5.6928358639617622e+00, -4.5094028637907648e+00, -4.6675916856756956e+00, -4.5022340833018664e+00, -3.8392088595102285e+00, -2.7149630046963114e+00, -1.6130472919490222e+00, -1.8005278414318617e+00, -4.4013123477854421e+00, -9.3143328356806094e+00, -1.3517125808989496e+01, -1.3686517562566674e+01, -9.0751678690673181e+00, -2.8729259734070673e+00,  1.8070391520031373e+00,  3.7084284604083773e+00,  3.1590494425627096e+00,  2.4126291732228662e+00,  1.6697234859641688e+00,  1.0515934182198732e+00,  5.6771654997810650e-01,  2.1616090324322640e-01, -1.1042616893916501e-02, -1.4172631916471612e-01, -1.8007463578392452e-01, -1.6329141631826816e-01, -9.4247045470564172e-02, -1.6051915906743930e-02,  7.0246255359833532e-02,  1.2540199224013149e-01,  1.6741619532677321e-01,  1.9790271146602256e-01,  3.1273538211448071e-01,  6.2297392538187268e-01,  1.3205338446360182e+00,  2.4865908971032171e+00,  4.0387298183658373e+00,  5.5737662614870320e+00,  6.5998741112140706e+00,  6.7512007521145119e+00,  6.0523702792280263e+00,  4.7895250383820809e+00,  3.3465201108965501e+00,  1.9938341986533268e+00,  8.7850007595436930e-01,  3.5966091615947215e-02, -5.3304037230028090e-01, -8.3950097990282335e-01, -8.7527009867259842e-01, -6.3113202666376444e-01, -1.1383658259222540e-01,  5.9211302918111586e-01,  1.2881255777070943e+00,  1.6533712268586276e+00,  1.3837017444394781e+00,  3.8012332639295576e-01, -1.0979786594095260e+00, -2.5765642221060956e+00, -3.6235200815173947e+00, -4.0912735483108253e+00, -4.0626119235528781e+00, -3.7462615263940089e+00, -3.3082748234554580e+00, -2.8678776066829115e+00, -2.4574960786734126e+00, -2.0922830242489603e+00, -1.7421213967274194e+00, -1.3926384703132091e+00, -1.0028998779484186e+00, -5.5729397015737836e-01, -2.0035657194990675e-02,  6.1954605827828901e-01,  1.3861624847113967e+00,  2.2842862853784744e+00,  3.3128463760688307e+00,  4.4524877408889960e+00,  5.5875705390718737e+00,  6.6354086583412073e+00,  5.9834645125041419e+00,  2.1591730419555906e+00, -3.9191777659104092e+00, -9.7451650604721074e+00, -1.1695744678467953e+01, -8.8431980351379309e+00, -4.0465905716220618e+00, -6.7489423078183397e-01,  1.3935169929733937e-01, -7.0043109548916349e-01, -1.9576068747265525e+00, -2.9781599865210371e+00, -3.6613644768931399e+00, -4.1589737338906625e+00,  1.2659633661263445e+00
     2,  2.2148e-01,  3.4289658802296114e-01,  1.2659633849906686e+00,  3.9247426483408071e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299893348578496e+02,  5.8458886690668548e+00,  6.1476439704121741e+00,  6.5480658757116768e+00,  6.9230716103965015e+00,  6.7756628371967516e+00,  5.2194349150168726e+00,  8.4999176502770757e-01, -6.8926233171843618e+00, -1.6526530664379386e+01, -2.3378391924838603e+01, -2.3329699052471799e+01, -1.6428604269671069e+01, -7.5141237883708136e+00, -9.4879799351916438e-01,  1.6049851255505172e+00,  5.6917786464008513e-01, -6.9646172493990166e-01, -1.9047097838079512e+00, -2.8470081407648182e+00, -3.5220079619379954e+00, -3.9241897498298495e+00, -4.1022455224747070e+00, -4.0953961121749618e+00, -3.9476446669911760e+00, -3.6983427668476279e+00, -3.3777445735133607e+00, -3.0188486227822762e+00, -2.6459556470015313e+00, -2.2974177540585936e+00, -2.0161165252017703e+00, -1.8776388111942228e+00, -1.9802227512092756e+00, -2.4571689740426281e+00, -3.4172069257166044e+00, -4.8698887129672137e+00, -6.6002254022688476e+00, -8.1836322274566697e+00, -9.1437258542677338e+00, -9.2337064023707036e+00, -8.5420790124951793e+00, -7.3978826144326995e+00, -6.1541578799470971e+00, -5.0533605476148677e+00, -4.2065917917295845e+00, -3.6323499779722170e+00, -3.3195882268132104e+00, -3.2510463640828355e+00, -3.4331118017505999e+00, -3.8747481353242512e+00, -4.5792039831957201e+00, -5.4815567698290764e+00, -6.4125994037309830e+00, -7.0779554463383807e+00, -7.1573501673344051e+00, -6.4914678913162058e+00, -5.2272422792710209e+00, -3.7778496290889549e+00, -2.5629460164983811e+00, -1.8133899307372021e+00, -1.5044443341245515e+00, -1.4921404054769842e+00, -1.6028608387196459e+00, -1.7292050546748094e+00, -1.8052489390569750e+00, -1.8177945122915080e+00, -1.7553719480888095e+00, -1.6218646101790251e+00, -1.4050802674693792e+00, -1.0972715954973067e+00, -6.7933167742336109e-01, -1.3402002155591936e-01,  5.5300145446356253e-01,  1.3991982444555364e+00,  2.3873936321123885e+00,  3.5090575573929121e+00,  4.5952091729461291e+00,  5.5760226815073226e+00,  4.1059957668396843e+00, -1.8748669590712859e+00, -1.1027544137776880e+01, -1.9954839633160500e+01, -2.3378125720466613e+01, -1.9161290073727475e+01, -1.0453928308513358e+01, -2.1063295327668601e+00,  3.1680795035813585e+00,  5.4784766738204507e+00,  6.0186711995246824e+00,  5.9021891811346370e+00,  5.7116792215070387e+00,  5.6928357723540151e+00, -4.5094025932901598e+00, -4.6675914014515829e+00, -4.5022337908586092e+00, -3.8392086072978877e+00, -2.7149628729381963e+00, -1.6130472978105708e+00, -1.8005277212496851e+00, -4.4013114992684033e+00, -9.3143306836131714e+00, -1.3517122617768386e+01, -1.3686514533681340e+01, -9.0751661287488687e+00, -2.8729256352851404e+00,  1.8070386236088278e+00,  3.7084279583916344e+00,  3.1590490950151979e+00,  2.4126288839592700e+00,  1.6697232913023503e+00,  1.0515933011152558e+00,  5.6771650118604355e-01,  2.1616090208148558e-01, -1.1042580545972402e-02, -1.4172626373706859e-01, -1.8007456795446541e-01, -1.6329135094983227e-01, -9.4246983802514284e-02, -1.6051866926558689e-02,  7.0246297930178780e-02,  1.2540202672471179e-01,  1.6741623349266277e-01,  1.9790274933801433e-01,  3.1273541203010558e-01,  6.2297389741082587e-01,  1.3205336843027635e+00,  2.4865905101422685e+00,  4.0387291832756933e+00,  5.5737654741354952e+00,  6.5998733898208872e+00,  6.7512003048955309e+00,  6.0523702087042430e+00,  4.7895253024378608e+00,  3.3465205991320932e+00,  1.9938347928767877e+00,  8.7850070145383397e-01,  3.5966711382587890e-02, -5.3303976104741091e-01, -8.3950037113537257e-01, -8.7526948611257471e-01, -6.3113142944792611e-01, -1.1383605172855082e-01,  5.9211339580679323e-01,  1.2881256718861689e+00,  1.6533709776386916e+00,  1.3837012065007563e+00,  3.8012266977594411e-01, -1.0979792132967323e+00, -2.5765645510280537e+00, -3.6235201804541499e+00, -4.0912735117717220e+00, -4.0626118340527446e+00, -3.7462614470219249e+00, -3.3082747623637774e+00, -2.8678775675646495e+00, -2.4574960410898870e+00, -2.0922829857365564e+00, -1.7421213425824762e+00, -1.3926384070434681e+00, -1.0028998011075405e+00, -5.5729389425579989e-01, -2.0035586530026017e-02,  6.1954610405688904e-01,  1.3861624934083081e+00,  2.2842862345543158e+00,  3.3128462460598533e+00,  4.4524875154213444e+00,  5.5875702089613508e+00,  6.6354082450210603e+00,  5.9834638411510523e+00,  2.1591729585271686e+00, -3.9191766096064766e+00, -9.7451624746341956e+00, -1.1695741437456300e+01, -8.8431955155540205e+00, -4.0465893285528960e+00, -6.7489395170440702e-01,  1.3935172120363082e-01, -7.0043098686100236e-01, -1.9576066194357213e+00, -2.9781596746326544e+00, -3.6613641740688920e+00, -4.1589734538282270e+00,  1.2659633849906686e+00
     3,  2.9356e-01,  3.4289658802296114e-01,  1.2659633661263445e+00,  3.9247427973524190e-01, -1.0573555059188127e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299907631287897e+02,  5.8458887412351359e+00,  6.1476440884526848e+00,  6.5480661035725793e+00,  6.9230720594892992e+00,  6.7756635682466122e+00,  5.2194358627211077e+00,  8.4999242597729641e-01, -6.8926237997276294e+00, -1.6526533033646011e+01, -2.3378395670617511e+01, -2.3329702475122911e+01, -1.6428605883554638e+01, -7.5141236917470930e+00, -9.4879692946309591e-01,  1.6049855452268276e+00,  5.6917787932333064e-01, -6.9646169305931027e-01, -1.9047097744468051e+00, -2.8470081440198056e+00, -3.5220079685210726e+00, -3.9241897615343664e+00, -4.1022455332999090e+00, -4.0953961263268690e+00, -3.9476446825055516e+00, -3.6983427874254153e+00, -3.3777445992905690e+00, -3.0188486554370559e+00, -2.6459556863878761e+00, -2.2974177984015878e+00, -2.0161165720896976e+00, -1.8776388542182334e+00, -1.9802227823495100e+00, -2.4571689752883428e+00, -3.4172068729358509e+00, -4.8698885729916208e+00, -6.6002251533229321e+00, -8.1836318705359048e+00, -9.1437254257009570e+00, -9.2337059600664944e+00, -8.5420786111613900e+00, -7.3978822922051846e+00, -6.1541576452250695e+00, -5.0533603981413986e+00, -4.2065917082805697e+00, -3.6323499480833332e+00, -3.3195882287147889e+00, -3.2510463860091168e+00, -3.4331118218629886e+00, -3.8747481398551988e+00, -4.5792039502388482e+00, -5.4815566902548172e+00, -6.4125992754668628e+00, -7.0779552935591266e+00, -7.1573500326637891e+00, -6.4914678264817613e+00, -5.2272423203437732e+00, -3.7778497783834109e+00, -2.5629462479602401e+00, -1.8133902026967375e+00, -1.5044446109315044e+00, -1.4921406622098954e+00, -1.6028610648282271e+00, -1.7292052475550932e+00, -1.8052491019092503e+00, -1.8177946490087105e+00, -1.7553720624691524e+00, -1.6218647044704724e+00, -1.4050803408921273e+00, -1.0972716473656861e+00, -6.7933170007662380e-01, -1.3402001280361292e-01,  5.5300151077531645e-01,  1.3991983474501026e+00,  2.3873938077391648e+00,  3.5090577894436716e+00,  4.5952094999921220e+00,  5.5760231115863554e+00,  4.1059972049319162e+00, -1.8748660842897609e+00, -1.1027544719826833e+01, -1.9954842155077639e+01, -2.3378129251299061e+01, -1.9161292683338441e+01, -1.0453929129023448e+01, -2.1063288842893684e+00,  3.1680806144836824e+00,  5.4784776690060371e+00,  6.0186718482168065e+00,  5.9021895483820330e+00,  5.7116793998236517e+00,  5.6928358660283225e+00, -4.5094029447109616e+00, -4.6675917490504943e+00, -4.5022341011302256e+00, -3.8392088208215922e+00, -2.7149629328014213e+00, -1.6130472326743428e+00, -1.8005278758512779e+00, -4.4013125347616020e+00, -9.3143332120783189e+00, -1.3517126268959467e+01, -1.3686517871041495e+01, -9.0751678561649314e+00, -2.8729257307306590e+00,  1.8070394995586465e+00,  3.7084285534898602e+00,  3.1590493928559589e+00,  2.4126291597027980e+00,  1.6697234973954989e+00,  1.0515934573849222e+00,  5.6771660724446471e-01,  2.1616097520200184e-01, -1.1042538743440689e-02, -1.4172623716062288e-01, -1.8007455782486709e-01, -1.6329134261575184e-01, -9.4246981709034783e-02, -1.6051857947336212e-02,  7.0246306669180969e-02,  1.2540204660727317e-01,  1.6741625411245864e-01,  1.9790277709960180e-01,  3.1273542667780729e-01,  6.2297388976131973e-01,  1.3205336140612827e+00,  2.4865903533388094e+00,  4.0387289064086040e+00,  5.5737650919509054e+00,  6.5998729323381182e+00,  6.7511998392997974e+00,  6.0523697813223301e+00,  4.7895249510983557e+00,  3.3465203245539454e+00,  1.9938345902497780e+00,  8.7850054943708011e-01,  3.5966596917555327e-02, -5.3303985786688013e-01, -8.3950046128997080e-01, -8.7526958938150656e-01, -6.3113155883467198e-01, -1.1383623079125549e-01,  5.9211315801689568e-01,  1.2881253656167420e+00,  1.6533706301221724e+00,  1.3837008508824415e+00,  3.8012237246249470e-01, -1.0979794220910140e+00, -2.5765646445791148e+00, -3.6235201928071246e+00, -4.0912734619036364e+00, -4.0626117713087648e+00, -3.7462613785484029e+00, -3.3082747162235262e+00, -2.8678775325907249e+00, -2.4574960328732676e+00, -2.0922829867834118e+00, -1.7421213642725846e+00, -1.3926384299989576e+00, -1.0028998332816470e+00, -5.5729391503438208e-01, -2.0035598875533911e-02,  6.1954612104118811e-01,  1.3861625433631930e+00,  2.2842863357588490e+00,  3.3128464092762520e+00,  4.4524877468246702e+00,  5.5875705203677075e+00,  6.6354086504005405e+00,  5.9834648296004964e+00,  2.1591733039901024e+00, -3.9191777024084553e+00, -9.7451653232562965e+00, -1.1695745217325001e+01, -8.8431985437054550e+00, -4.0465909436632082e+00, -6.7489439984409572e-01,  1.3935164564939395e-01, -7.0043107165688734e-01, -1.9576068452525128e+00, -2.9781599822830600e+00, -3.6613645121743383e+00, -4.1589738044689399e+00,  1.2659633661263445e+00
     4,  3.6719e-01,  3.4289658802296114e-01,  1.2659633661263445e+00,  3.9247426483408071e-01, -1.0573555216746375e+00,  2.2776713826821968e+00,  9.9090484396203593e-01,  3.9479847493340290e+00,  6.4299898204768976e+02,  5.8458887854040009e+00,  6.1476440990365759e+00,  6.5480660330605236e+00,  6.9230718181107713e+00,  6.7756630686818777e+00,  5.2194350761973052e+00,  8.4999161224265185e-01, -6.8926240477909202e+00, -1.6526532017279475e+01, -2.3378393413310796e+01, -2.3329699957473704e+01, -1.6428604280635710e+01, -7.5141232640278695e+00, -9.4879731799156142e-01,  1.6049852825591109e+00,  5.6917781383928534e-01, -6.9646175400480304e-01, -1.9047098113956766e+00, -2.8470081662285445e+00, -3.5220079831017146e+00, -3.9241897698752291e+00, -4.1022455393392780e+00, -4.0953961281058664e+00, -3.9476446809248276e+00, -3.6983427797912993e+00, -3.3777445852490326e+00, -3.0188486333931035e+00, -2.6459556569088725e+00, -2.2974177628152024e+00, -2.0161165337442073e+00, -1.8776388188096296e+00, -1.9802227592391346e+00, -2.4571689814924573e+00, -3.4172069340449887e+00, -4.8698887208248847e+00, -6.6002254108045149e+00, -8.1836322353802231e+00, -9.1437258619727331e+00, -9.2337064094427355e+00, -8.5420790182901367e+00, -7.3978826198836511e+00, -6.1541578834281934e+00, -5.0533605511719868e+00, -4.2065917930595385e+00, -3.6323499796888608e+00, -3.3195882262809833e+00, -3.2510463640144884e+00, -3.4331117994939202e+00, -3.8747481333593847e+00, -4.5792039792020205e+00, -5.4815567657804838e+00, -6.4125993980731195e+00, -7.0779554403065852e+00, -7.1573501605073488e+00, -6.4914678841003406e+00, -5.2272422722832275e+00, -3.7778496220616606e+00, -2.5629460104424924e+00, -1.8133899250115195e+00, -1.5044443294997452e+00, -1.4921404011637895e+00, -1.6028608350956122e+00, -1.7292050509338517e+00, -1.8052489354098971e+00, -1.8177945080843609e+00, -1.7553719434593804e+00, -1.6218646048619179e+00, -1.4050802611613395e+00, -1.0972715887872089e+00, -6.7933166876056883e-01, -1.3402001324455270e-01,  5.5300146653921978e-01,  1.3991982546624242e+00,  2.3873936497489781e+00,  3.5090575691510799e+00,  4.5952092008537075e+00,  5.5760227274532408e+00,  4.1059964290088935e+00, -1.8748662905501887e+00, -1.1027543847002535e+01, -1.9954840167506791e+01, -2.3378127042988460e+01, -1.9161291481128188e+01, -1.0453929231747905e+01, -2.1063297972463890e+00,  3.1680796239030755e+00,  5.4784769414407508e+00,  6.0186714500562415e+00,  5.9021893825593290e+00,  5.7116793730102433e+00,  5.6928358983523379e+00, -4.5094027565242172e+00, -4.6675915531630192e+00, -4.5022339133604143e+00, -3.8392086762434605e+00, -2.7149628740809160e+00, -1.6130472670308249e+00, -1.8005278197461601e+00, -4.4013119597960220e+00, -9.3143316115870292e+00, -1.3517123714880858e+01, -1.3686515245097029e+01, -9.0751661910337322e+00, -2.8729252795948872e+00,  1.8070390960565814e+00,  3.7084280915404864e+00,  3.1590490862073279e+00,  2.4126288934213194e+00,  1.6697232982789623e+00,  1.0515933118781142e+00,  5.6771651098738141e-01,  2.1616091460250980e-01, -1.1042569647265355e-02, -1.4172625015622908e-01, -1.8007455654519033e-01, -1.6329133665857065e-01, -9.4246971956520764e-02, -1.6051851953013063e-02,  7.0246310408256907e-02,  1.2540204255840193e-01,  1.6741624688111956e-01,  1.9790276624870895e-01,  3.1273542647757946e-01,  6.2297391536301272e-01,  1.3205336995480721e+00,  2.4865905284619805e+00,  4.0387291984133409e+00,  5.5737654913772037e+00,  6.5998734034376838e+00,  6.7512003193919634e+00,  6.0523702194800446e+00,  4.7895253131223257e+00,  3.3465206063474069e+00,  1.9938347994955772e+00,  8.7850070494055066e-01,  3.5966714101984154e-02, -5.3303976127202701e-01, -8.3950037213776940e-01, -8.7526949013432620e-01, -6.3113143412520900e-01, -1.1383605978172473e-01,  5.9211338750344678e-01,  1.2881256596623150e+00,  1.6533709660895712e+00,  1.3837011905484662e+00,  3.8012265595756856e-01, -1.0979792316426500e+00, -2.5765645657295195e+00, -3.6235201994295605e+00, -4.0912735261465203e+00, -4.0626118523697174e+00, -3.7462614604456741e+00, -3.3082747795661076e+00, -2.8678775799615615e+00, -2.4574960572625910e+00, -2.0922829973315631e+00, -1.7421213579397352e+00, -1.3926384181405291e+00, -1.0028998157146647e+00, -5.5729390507352661e-01, -2.0035600129567843e-02,  6.1954609353398249e-01,  1.3861624815917328e+00,  2.2842862246709785e+00,  3.3128462377273840e+00,  4.4524875064913259e+00,  5.5875702076260145e+00,  6.6354082602760576e+00,  5.9834642657536534e+00,  2.1591733870299250e+00, -3.9191764811697922e+00, -9.7451629521868277e+00, -1.1695742481634957e+01, -8.8431965523727420e+00, -4.0465899946868875e+00, -6.7489417414977648e-01,  1.3935167826914263e-01, -7.0043100986298090e-01, -1.9576067062784503e+00, -2.9781598096112676e+00, -3.6613643332378225e+00, -4.1589736214656075e+00,  1.2659633661263445e+00
