       0.10000D+01       0.00000D+00      -0.13564D-02       0.43031D+00       0.38283D+00
       0.20000D+01       0.78404D-02      -0.12356D-01       0.43129D+00       0.38227D+00
       0.30000D+01       0.12995D-01      -0.20445D-01       0.43116D+00       0.52339D+00
       0.40000D+01       0.15477D-01      -0.30423D-01       0.43226D+00       0.48667D+00
       0.50000D+01       0.12736D-01      -0.31970D-01       0.43217D+00       0.62120D+00
       0.60000D+01       0.11617D-01      -0.27160D-01       0.43286D+00       0.58205D+00
       0.70000D+01       0.12029D-01      -0.20840D-01       0.43264D+00       0.60893D+00
       0.80000D+01       0.14864D-01      -0.76560D-02       0.43276D+00       0.58477D+00
       0.90000D+01       0.15396D-01      -0.19281D-02       0.43248D+00       0.60849D+00
       0.10000D+02       0.13456D-01       0.17605D-02       0.43231D+00       0.58593D+00
       0.11000D+02       0.12259D-01      -0.50059D-02       0.43221D+00       0.60198D+00
       0.12000D+02       0.13365D-01      -0.12504D-01       0.43206D+00       0.61534D+00
       0.13000D+02       0.15075D-01      -0.25461D-01       0.43224D+00       0.62554D+00
       0.14000D+02       0.14599D-01      -0.30058D-01       0.43220D+00       0.66293D+00
       0.15000D+02       0.13689D-01      -0.31189D-01       0.43248D+00       0.66979D+00
       0.16000D+02       0.13145D-01      -0.27723D-01       0.43243D+00       0.69982D+00
       0.17000D+02       0.14329D-01      -0.15539D-01       0.43258D+00       0.70323D+00
       0.18000D+02       0.15060D-01      -0.74836D-02       0.43247D+00       0.72592D+00
       0.19000D+02       0.14530D-01       0.10241D-02       0.43242D+00       0.71001D+00
       0.20000D+02       0.13681D-01      -0.75279D-03       0.43233D+00       0.69574D+00
       0.21000D+02       0.13712D-01      -0.49960D-02       0.43223D+00       0.68087D+00
       0.22000D+02       0.14398D-01      -0.17690D-01       0.43227D+00       0.66721D+00
       0.23000D+02       0.14604D-01      -0.24874D-01       0.43222D+00       0.67322D+00
       0.24000D+02       0.14495D-01      -0.31789D-01       0.43238D+00       0.66083D+00
       0.25000D+02       0.13952D-01      -0.31407D-01       0.43236D+00       0.69598D+00
       0.26000D+02       0.14041D-01      -0.23203D-01       0.43249D+00       0.68407D+00
       0.27000D+02       0.14326D-01      -0.15569D-01       0.43244D+00       0.68728D+00
       0.28000D+02       0.14700D-01      -0.34257D-02       0.43245D+00       0.67755D+00
       0.29000D+02       0.14545D-01      -0.27547D-03       0.43238D+00       0.68170D+00
       0.30000D+02       0.14049D-01       0.24948D-03       0.43231D+00       0.65908D+00
       0.31000D+02       0.13903D-01      -0.93157D-02       0.43230D+00       0.65140D+00
       0.32000D+02       0.14310D-01      -0.17513D-01       0.43225D+00       0.65588D+00
       0.33000D+02       0.14767D-01      -0.28950D-01       0.43234D+00       0.65869D+00
       0.34000D+02       0.14436D-01      -0.31660D-01       0.43232D+00       0.67314D+00
       0.35000D+02       0.14088D-01      -0.29057D-01       0.43244D+00       0.67579D+00
       0.36000D+02       0.13994D-01      -0.23748D-01       0.43241D+00       0.67841D+00
       0.37000D+02       0.14599D-01      -0.10542D-01       0.43245D+00       0.68055D+00
       0.38000D+02       0.14845D-01      -0.36262D-02       0.43240D+00       0.68242D+00
       0.39000D+02       0.14396D-01       0.19432D-02       0.43236D+00       0.68449D+00
       0.40000D+02       0.13955D-01      -0.29825D-02       0.43233D+00       0.67696D+00
       0.41000D+02       0.14165D-01      -0.95264D-02       0.43228D+00       0.67905D+00
       0.42000D+02       0.14677D-01      -0.22779D-01       0.43232D+00       0.67191D+00
       0.43000D+02       0.14619D-01      -0.28450D-01       0.43230D+00       0.67504D+00
       0.44000D+02       0.14364D-01      -0.31823D-01       0.43239D+00       0.66823D+00
       0.45000D+02       0.14106D-01      -0.29514D-01       0.43238D+00       0.67894D+00
       0.46000D+02       0.14396D-01      -0.18540D-01       0.43244D+00       0.68065D+00
       0.47000D+02       0.14659D-01      -0.10337D-01       0.43241D+00       0.67451D+00
       0.48000D+02       0.14603D-01      -0.24887D-03       0.43240D+00       0.66909D+00
       0.49000D+02       0.14327D-01      -0.11816D-03       0.43236D+00       0.65551D+00
       0.50000D+02       0.14205D-01      -0.26632D-02       0.43231D+00       0.65845D+00
       0.51000D+02       0.14360D-01      -0.14450D-01       0.43232D+00       0.65302D+00
       0.52000D+02       0.14531D-01      -0.22276D-01       0.43229D+00       0.65594D+00
       0.53000D+02       0.14610D-01      -0.31122D-01       0.43236D+00       0.65066D+00
       0.54000D+02       0.14360D-01      -0.31906D-01       0.43235D+00       0.66008D+00
       0.55000D+02       0.14277D-01      -0.25703D-01       0.43242D+00       0.65510D+00
       0.56000D+02       0.14339D-01      -0.18796D-01       0.43240D+00       0.65716D+00
       0.57000D+02       0.14633D-01      -0.58824D-02       0.43241D+00       0.65292D+00
       0.58000D+02       0.14660D-01      -0.10981D-02       0.43238D+00       0.65542D+00
       0.59000D+02       0.14356D-01       0.13402D-02       0.43235D+00       0.65081D+00
       0.60000D+02       0.14168D-01      -0.65810D-02       0.43233D+00       0.64633D+00
       0.61000D+02       0.14378D-01      -0.14490D-01       0.43230D+00       0.65647D+00
       0.62000D+02       0.14701D-01      -0.26993D-01       0.43234D+00       0.65860D+00
       0.63000D+02       0.14565D-01      -0.30854D-01       0.43233D+00       0.66639D+00
       0.64000D+02       0.14348D-01      -0.30504D-01       0.43240D+00       0.66795D+00
       0.65000D+02       0.14236D-01      -0.26293D-01       0.43238D+00       0.67537D+00
       0.66000D+02       0.14557D-01      -0.13550D-01       0.43242D+00       0.67662D+00
       0.67000D+02       0.14737D-01      -0.58133D-02       0.43239D+00       0.68310D+00
       0.68000D+02       0.14539D-01       0.15683D-02       0.43237D+00       0.68396D+00
       0.69000D+02       0.14275D-01      -0.14621D-02       0.43235D+00       0.67944D+00
       0.70000D+02       0.14329D-01      -0.67068D-02       0.43232D+00       0.68049D+00
       0.71000D+02       0.14584D-01      -0.19773D-01       0.43233D+00       0.67625D+00
       0.72000D+02       0.14609D-01      -0.26411D-01       0.43232D+00       0.67805D+00
       0.73000D+02       0.14520D-01      -0.31962D-01       0.43237D+00       0.67391D+00
       0.74000D+02       0.14342D-01      -0.30818D-01       0.43237D+00       0.68033D+00
       0.75000D+02       0.14429D-01      -0.21421D-01       0.43241D+00       0.67642D+00
       0.76000D+02       0.14559D-01      -0.13454D-01       0.43239D+00       0.67766D+00
       0.77000D+02       0.14627D-01      -0.20219D-02       0.43239D+00       0.67424D+00
       0.78000D+02       0.14521D-01      -0.32871D-04       0.43236D+00       0.67583D+00
       0.79000D+02       0.14370D-01      -0.74643D-03       0.43234D+00       0.67214D+00
       0.80000D+02       0.14370D-01      -0.11280D-01       0.43234D+00       0.66852D+00
       0.81000D+02       0.14515D-01      -0.19448D-01       0.43232D+00       0.67020D+00
       0.82000D+02       0.14649D-01      -0.29970D-01       0.43235D+00       0.66661D+00
       0.83000D+02       0.14499D-01      -0.31919D-01       0.43235D+00       0.67254D+00
       0.84000D+02       0.14382D-01      -0.27862D-01       0.43240D+00       0.66913D+00
       0.85000D+02       0.14370D-01      -0.21878D-01       0.43238D+00       0.67032D+00
       0.86000D+02       0.14612D-01      -0.86321D-02       0.43240D+00       0.66735D+00
       0.87000D+02       0.14688D-01      -0.24566D-02       0.43238D+00       0.66887D+00
       0.88000D+02       0.14478D-01       0.18867D-02       0.43236D+00       0.66562D+00
       0.89000D+02       0.14298D-01      -0.42529D-02       0.43234D+00       0.66671D+00
       0.90000D+02       0.14415D-01      -0.11464D-01       0.43232D+00       0.66778D+00
       0.91000D+02       0.14655D-01      -0.24578D-01       0.43234D+00       0.66866D+00
       0.92000D+02       0.14600D-01      -0.29555D-01       0.43234D+00       0.67387D+00
       0.93000D+02       0.14460D-01      -0.31464D-01       0.43238D+00       0.67486D+00
       0.94000D+02       0.14351D-01      -0.28396D-01       0.43237D+00       0.67992D+00
       0.95000D+02       0.14527D-01      -0.16583D-01       0.43240D+00       0.68074D+00
       0.96000D+02       0.14661D-01      -0.84313D-02       0.43238D+00       0.68148D+00
       0.97000D+02       0.14586D-01       0.64381D-03       0.43238D+00       0.67882D+00
       0.98000D+02       0.14421D-01      -0.47196D-03       0.43236D+00       0.67623D+00
       0.99000D+02       0.14398D-01      -0.41487D-02       0.43233D+00       0.67328D+00
       0.10000D+03       0.14522D-01      -0.16573D-01       0.43234D+00       0.67035D+00
       0.10100D+03       0.14582D-01      -0.24008D-01       0.43233D+00       0.67169D+00
       0.10200D+03       0.14579D-01      -0.31613D-01       0.43236D+00       0.66879D+00
       0.10300D+03       0.14446D-01      -0.31634D-01       0.43236D+00       0.67724D+00
       0.10400D+03       0.14441D-01      -0.24099D-01       0.43239D+00       0.67444D+00
       0.10500D+03       0.14498D-01      -0.16690D-01       0.43238D+00       0.67536D+00
       0.10600D+03       0.14617D-01      -0.42347D-02       0.43239D+00       0.67290D+00
       0.10700D+03       0.14595D-01      -0.49807D-03       0.43237D+00       0.67407D+00
       0.10800D+03       0.14445D-01       0.68620D-03       0.43235D+00       0.66787D+00
       0.10900D+03       0.14379D-01      -0.83310D-02       0.43234D+00       0.66177D+00
       0.11000D+03       0.14496D-01      -0.16475D-01       0.43233D+00       0.66305D+00
       0.11100D+03       0.14646D-01      -0.28329D-01       0.43235D+00       0.66382D+00
       0.11200D+03       0.14554D-01      -0.31438D-01       0.43235D+00       0.66816D+00
       0.11300D+03       0.14438D-01      -0.29609D-01       0.43238D+00       0.66903D+00
       0.11400D+03       0.14395D-01      -0.24672D-01       0.43238D+00       0.66991D+00
       0.11500D+03       0.14585D-01      -0.11572D-01       0.43239D+00       0.67067D+00
       0.11600D+03       0.14676D-01      -0.43284D-02       0.43238D+00       0.67137D+00
       0.11700D+03       0.14537D-01       0.18767D-02       0.43236D+00       0.67215D+00
       0.11800D+03       0.14382D-01      -0.23989D-02       0.43235D+00       0.66971D+00
       0.11900D+03       0.14438D-01      -0.85298D-02       0.43233D+00       0.67049D+00
       0.12000D+03       0.14609D-01      -0.21772D-01       0.43235D+00       0.66806D+00
       0.12100D+03       0.14601D-01      -0.27791D-01       0.43234D+00       0.66921D+00
       0.12200D+03       0.14520D-01      -0.31927D-01       0.43237D+00       0.66680D+00
       0.12300D+03       0.14420D-01      -0.30019D-01       0.43237D+00       0.67072D+00
       0.12400D+03       0.14508D-01      -0.19553D-01       0.43239D+00       0.66529D+00
       0.12500D+03       0.14600D-01      -0.11390D-01       0.43238D+00       0.66613D+00
       0.12600D+03       0.14601D-01      -0.80704D-03       0.43238D+00       0.66414D+00
       0.12700D+03       0.14507D-01      -0.26406D-04       0.43236D+00       0.66219D+00
       0.12800D+03       0.14442D-01      -0.19504D-02       0.43234D+00       0.66299D+00
       0.12900D+03       0.14481D-01      -0.13339D-01       0.43235D+00       0.66081D+00
       0.13000D+03       0.14557D-01      -0.21321D-01       0.43233D+00       0.66192D+00
       0.13100D+03       0.14607D-01      -0.30779D-01       0.43236D+00       0.65974D+00
       0.13200D+03       0.14507D-01      -0.31966D-01       0.43236D+00       0.66352D+00
       0.13300D+03       0.14457D-01      -0.26491D-01       0.43238D+00       0.66143D+00
       0.13400D+03       0.14470D-01      -0.19884D-01       0.43238D+00       0.66225D+00
       0.13500D+03       0.14606D-01      -0.68039D-02       0.43238D+00       0.66042D+00
       0.13600D+03       0.14632D-01      -0.15075D-02       0.43237D+00       0.66143D+00
       0.13700D+03       0.14498D-01       0.15913D-02       0.43236D+00       0.65940D+00
       0.13800D+03       0.14401D-01      -0.57271D-02       0.43235D+00       0.66015D+00
       0.13900D+03       0.14488D-01      -0.13441D-01       0.43234D+00       0.66362D+00
       0.14000D+03       0.14638D-01      -0.26209D-01       0.43235D+00       0.66422D+00
       0.14100D+03       0.14586D-01      -0.30460D-01       0.43235D+00       0.66766D+00
       0.14200D+03       0.14488D-01      -0.30891D-01       0.43238D+00       0.66835D+00
       0.14300D+03       0.14428D-01      -0.27071D-01       0.43237D+00       0.67184D+00
       0.14400D+03       0.14567D-01      -0.14599D-01       0.43239D+00       0.67244D+00
       0.14500D+03       0.14653D-01      -0.66724D-02       0.43237D+00       0.67546D+00
       0.14600D+03       0.14575D-01       0.13104D-02       0.43237D+00       0.67374D+00
       0.14700D+03       0.14454D-01      -0.10593D-02       0.43236D+00       0.67204D+00
       0.14800D+03       0.14464D-01      -0.57888D-02       0.43234D+00       0.67293D+00
       0.14900D+03       0.14574D-01      -0.18682D-01       0.43235D+00       0.67096D+00
       0.15000D+03       0.14596D-01      -0.25618D-01       0.43234D+00       0.67186D+00
       0.15100D+03       0.14566D-01      -0.31897D-01       0.43237D+00       0.66990D+00
       0.15200D+03       0.14477D-01      -0.31154D-01       0.43236D+00       0.67305D+00
       0.15300D+03       0.14503D-01      -0.22373D-01       0.43238D+00       0.67118D+00
       0.15400D+03       0.14560D-01      -0.14565D-01       0.43238D+00       0.67183D+00
       0.15500D+03       0.14611D-01      -0.27400D-02       0.43238D+00       0.67017D+00
       0.15600D+03       0.14571D-01      -0.13143D-03       0.43236D+00       0.67099D+00
       0.15700D+03       0.14483D-01      -0.19436D-03       0.43235D+00       0.66674D+00
       0.15800D+03       0.14466D-01      -0.10230D-01       0.43235D+00       0.66518D+00
       0.15900D+03       0.14543D-01      -0.18434D-01       0.43234D+00       0.66605D+00
       0.16000D+03       0.14625D-01      -0.29458D-01       0.43236D+00       0.66419D+00
       0.16100D+03       0.14552D-01      -0.31809D-01       0.43235D+00       0.66721D+00
       0.16200D+03       0.14482D-01      -0.28515D-01       0.43238D+00       0.66547D+00
       0.16300D+03       0.14467D-01      -0.22882D-01       0.43237D+00       0.66612D+00
       0.16400D+03       0.14598D-01      -0.96309D-02       0.43238D+00       0.66459D+00
       0.16500D+03       0.14647D-01      -0.30464D-02       0.43237D+00       0.66540D+00
       0.16600D+03       0.14539D-01       0.19463D-02       0.43236D+00       0.66370D+00
       0.16700D+03       0.14436D-01      -0.35566D-02       0.43235D+00       0.66430D+00
       0.16800D+03       0.14491D-01      -0.10436D-01       0.43234D+00       0.66488D+00
       0.16900D+03       0.14620D-01      -0.23649D-01       0.43235D+00       0.66537D+00
       0.17000D+03       0.14598D-01      -0.28996D-01       0.43235D+00       0.66822D+00
       0.17100D+03       0.14527D-01      -0.31680D-01       0.43237D+00       0.66879D+00
       0.17200D+03       0.14462D-01      -0.29011D-01       0.43237D+00       0.67158D+00
       0.17300D+03       0.14548D-01      -0.17620D-01       0.43238D+00       0.67208D+00
       0.17400D+03       0.14620D-01      -0.94200D-02       0.43237D+00       0.67255D+00
       0.17500D+03       0.14591D-01       0.20063D-03       0.43237D+00       0.67107D+00
       0.17600D+03       0.14507D-01      -0.25611D-03       0.43236D+00       0.66728D+00
       0.17700D+03       0.14482D-01      -0.33444D-02       0.43235D+00       0.66804D+00
       0.17800D+03       0.14537D-01      -0.15452D-01       0.43235D+00       0.66643D+00
       0.17900D+03       0.14578D-01      -0.23108D-01       0.43234D+00       0.66721D+00
       0.18000D+03       0.14589D-01      -0.31380D-01       0.43236D+00       0.66559D+00
       0.18100D+03       0.14514D-01      -0.31804D-01       0.43236D+00       0.67041D+00
       0.18200D+03       0.14499D-01      -0.24962D-01       0.43238D+00       0.66885D+00
       0.18300D+03       0.14524D-01      -0.17806D-01       0.43237D+00       0.66941D+00
       0.18400D+03       0.14604D-01      -0.50862D-02       0.43238D+00       0.66803D+00
       0.18500D+03       0.14603D-01      -0.78561D-03       0.43237D+00       0.66873D+00
       0.18600D+03       0.14510D-01       0.10598D-02       0.43236D+00       0.66515D+00
       0.18700D+03       0.14459D-01      -0.73878D-02       0.43235D+00       0.66161D+00
       0.18800D+03       0.14526D-01      -0.15430D-01       0.43234D+00       0.66482D+00
       0.18900D+03       0.14626D-01      -0.27650D-01       0.43236D+00       0.66548D+00
       0.19000D+03       0.14577D-01      -0.31157D-01       0.43235D+00       0.66802D+00
       0.19100D+03       0.14505D-01      -0.30107D-01       0.43237D+00       0.66854D+00
       0.19200D+03       0.14472D-01      -0.25549D-01       0.43237D+00       0.66907D+00
