Problem type:
least_squares
nparams:
4
function_evaluation,seconds,x(0),x(1),x(2),x(3),objective_function
     0,  3.0667e-02, -7.4905254228453530e-03,  7.4612825522757587e-01,  1.1480588482020941e-01,  1.2714929284795569e+00,  3.5541111805295891e+03
     1,  5.4931e-02, -7.4905403240065468e-03,  7.4612825522757587e-01,  1.1480588482020941e-01,  1.2714929284795569e+00,  3.5540933702341654e+03
     2,  7.6839e-02, -7.4905254228453530e-03,  7.4612827012873706e-01,  1.1480588482020941e-01,  1.2714929284795569e+00,  3.5541110517791426e+03
     3,  1.0592e-01, -7.4905254228453530e-03,  7.4612825522757587e-01,  1.1480589972137061e-01,  1.2714929284795569e+00,  3.5541110841909735e+03
     4,  1.2844e-01, -7.4905254228453530e-03,  7.4612825522757587e-01,  1.1480588482020941e-01,  1.2714929474262779e+00,  3.5541112567876426e+03
     5,  1.4707e-01, -8.0398230322852888e-03,  8.0976290847410493e-01,  1.4094869805133170e-01,  1.9914147280620553e-01,  4.9057573676969326e+05
     6,  1.7633e-01, -1.0432556073205982e-02,  7.4794391440847030e-01,  1.3595838278159991e-01,  1.0037102884676183e+00,  2.2631410604161333e+03
     7,  1.9779e-01, -1.0432570974367176e-02,  7.4794391440847030e-01,  1.3595838278159991e-01,  1.0037102884676183e+00,  2.2631407478169663e+03
     8,  2.2015e-01, -1.0432556073205982e-02,  7.4794392930963149e-01,  1.3595838278159991e-01,  1.0037102884676183e+00,  2.2631410516043647e+03
     9,  2.4326e-01, -1.0432556073205982e-02,  7.4794391440847030e-01,  1.3595839768276111e-01,  1.0037102884676183e+00,  2.2631410845967944e+03
    10,  2.6411e-01, -1.0432556073205982e-02,  7.4794391440847030e-01,  1.3595838278159991e-01,  1.0037103034240671e+00,  2.2631410245809893e+03
    11,  2.9103e-01, -1.2954981105591044e-02,  7.3607956311422973e-01,  1.1530215277002959e-01,  1.2712791904842968e+00,  1.9981256096725981e+03
    12,  3.1790e-01, -1.2954996006752238e-02,  7.3607956311422973e-01,  1.1530215277002959e-01,  1.2712791904842968e+00,  1.9981255510568280e+03
    13,  3.4544e-01, -1.2954981105591044e-02,  7.3607957801539092e-01,  1.1530215277002959e-01,  1.2712791904842968e+00,  1.9981256052934252e+03
    14,  3.7432e-01, -1.2954981105591044e-02,  7.3607956311422973e-01,  1.1530216767119078e-01,  1.2712791904842968e+00,  1.9981255994460823e+03
    15,  4.0715e-01, -1.2954981105591044e-02,  7.3607956311422973e-01,  1.1530215277002959e-01,  1.2712792094278329e+00,  1.9981256123817323e+03
    16,  4.3447e-01, -1.1967790549066624e-02,  8.7724417026691937e-01,  1.2864043889120202e-01,  1.1398692970623663e+00,  2.0338491816705341e+03
    17,  4.5920e-01, -1.3083240936205972e-02,  7.7606566856192805e-01,  1.2881052490280953e-01,  1.2477303162152882e+00,  1.9919761586579812e+03
    18,  4.8577e-01, -1.3083255837367165e-02,  7.7606566856192805e-01,  1.2881052490280953e-01,  1.2477303162152882e+00,  1.9919764555652521e+03
    19,  5.0921e-01, -1.3083240936205972e-02,  7.7606568346308924e-01,  1.2881052490280953e-01,  1.2477303162152882e+00,  1.9919761582962735e+03
    20,  5.3430e-01, -1.3083240936205972e-02,  7.7606566856192805e-01,  1.2881053980397073e-01,  1.2477303162152882e+00,  1.9919761655435968e+03
    21,  5.6024e-01, -1.3083240936205972e-02,  7.7606566856192805e-01,  1.2881052490280953e-01,  1.2477303348079187e+00,  1.9919761551491642e+03
    22,  5.8639e-01, -9.9923309161642042e-03,  8.1050347055514260e-01,  1.2320486755588181e-01,  1.2465846151946796e+00,  2.1018193608607658e+03
    23,  6.1006e-01, -1.0098770842782328e-02,  7.8248826290567186e-01,  1.2411009898921120e-01,  1.2498551605949242e+00,  2.1180302502805462e+03
    24,  6.3494e-01, -1.0896632516238274e-02,  7.7609256609119925e-01,  1.2868842418728918e-01,  1.2477614732212876e+00,  2.0366408319202251e+03
    25,  6.5556e-01, -1.2535853708384464e-02,  7.7606685253516106e-01,  1.2879628503825397e-01,  1.2477357243089409e+00,  1.9857270008726694e+03
    26,  6.7867e-01, -1.2535868609545657e-02,  7.7606685253516106e-01,  1.2879628503825397e-01,  1.2477357243089409e+00,  1.9857270384465303e+03
    27,  7.0440e-01, -1.2535853708384464e-02,  7.7606686743632225e-01,  1.2879628503825397e-01,  1.2477357243089409e+00,  1.9857269989041417e+03
    28,  7.2890e-01, -1.2535853708384464e-02,  7.7606685253516106e-01,  1.2879629993941516e-01,  1.2477357243089409e+00,  1.9857270042114012e+03
    29,  7.5243e-01, -1.2535853708384464e-02,  7.7606685253516106e-01,  1.2879628503825397e-01,  1.2477357429016520e+00,  1.9857270000127282e+03
    30,  7.8694e-01, -1.2186137101038851e-02,  7.7631631637872955e-01,  1.2846164979188696e-01,  1.2477936167728880e+00,  1.9869185125230429e+03
    31,  8.1101e-01, -1.2400658361874310e-02,  7.7607819593819216e-01,  1.2877830355481237e-01,  1.2477391665836326e+00,  1.9856953862788216e+03
    32,  8.3633e-01, -1.2400673263035504e-02,  7.7607819593819216e-01,  1.2877830355481237e-01,  1.2477391665836326e+00,  1.9856953540843763e+03
    33,  8.6341e-01, -1.2400658361874310e-02,  7.7607821083935336e-01,  1.2877830355481237e-01,  1.2477391665836326e+00,  1.9856953838562990e+03
    34,  8.8519e-01, -1.2400658361874310e-02,  7.7607819593819216e-01,  1.2877831845597357e-01,  1.2477391665836326e+00,  1.9856953887365985e+03
    35,  9.1404e-01, -1.2400658361874310e-02,  7.7607819593819216e-01,  1.2877830355481237e-01,  1.2477391851763950e+00,  1.9856953860674280e+03
    36,  9.3727e-01, -1.2434639563692115e-02,  7.7608103035309428e-01,  1.2877537976548206e-01,  1.2477393852515113e+00,  1.9856412776952795e+03
    37,  9.6258e-01, -1.2434654464853308e-02,  7.7608103035309428e-01,  1.2877537976548206e-01,  1.2477393852515113e+00,  1.9856412632531126e+03
    38,  9.8715e-01, -1.2434639563692115e-02,  7.7608104525425547e-01,  1.2877537976548206e-01,  1.2477393852515113e+00,  1.9856412753892182e+03
    39,  1.0093e+00, -1.2434639563692115e-02,  7.7608103035309428e-01,  1.2877539466664326e-01,  1.2477393852515113e+00,  1.9856412803681619e+03
