Problem type:
least_squares
nparams:
6
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),objective_function
     0,  2.4218e-02, -1.2434639563692115e-02,  0.0000000000000000e+00,  7.4612825522757587e-01,  1.2877537976548206e-01,  1.2477393852515113e+00,  0.0000000000000000e+00,  2.0991101948622490e+03
     1,  5.0164e-02, -1.2434654464853308e-02,  0.0000000000000000e+00,  7.4612825522757587e-01,  1.2877537976548206e-01,  1.2477393852515113e+00,  0.0000000000000000e+00,  2.0991100724338680e+03
     2,  8.3440e-02, -1.2434639563692115e-02,  1.4901161193847656e-08,  7.4612825522757587e-01,  1.2877537976548206e-01,  1.2477393852515113e+00,  0.0000000000000000e+00,  2.0991129831367157e+03
     3,  1.1480e-01, -1.2434639563692115e-02,  0.0000000000000000e+00,  7.4612827012873706e-01,  1.2877537976548206e-01,  1.2477393852515113e+00,  0.0000000000000000e+00,  2.0991101880556694e+03
     4,  1.3820e-01, -1.2434639563692115e-02,  0.0000000000000000e+00,  7.4612825522757587e-01,  1.2877539466664326e-01,  1.2477393852515113e+00,  0.0000000000000000e+00,  2.0991101975584752e+03
     5,  1.6656e-01, -1.2434639563692115e-02,  0.0000000000000000e+00,  7.4612825522757587e-01,  1.2877537976548206e-01,  1.2477394038442771e+00,  0.0000000000000000e+00,  2.0991101919747512e+03
     6,  1.9252e-01, -1.2434639563692115e-02,  0.0000000000000000e+00,  7.4612825522757587e-01,  1.2877537976548206e-01,  1.2477393852515113e+00,  1.4901161193847656e-08,  2.0991101907096895e+03
     7,  2.2360e-01, -3.6548748093244432e-05, -2.0814181442334774e-03,  8.3852515877174227e-01,  1.2371287913755666e-01,  1.1866632223768716e+00, -3.4045978063973491e-02,  2.7168451911511215e+03
     8,  2.5304e-01, -6.4593434366526023e-04, -2.0607064189298000e-03,  7.6885710267339291e-01,  1.2331383684306876e-01,  1.2404539427832373e+00, -1.0388276363025892e-02,  2.7549970313541094e+03
     9,  2.7946e-01, -5.2998185322439325e-03, -1.4432419743971271e-03,  7.4634733136069364e-01,  1.2842998310629347e-01,  1.2478154290005012e+00, -5.9100716713556789e-05,  2.2844111688064845e+03
    10,  3.0097e-01, -1.0753888618262262e-02, -7.0326017531129840e-04,  7.4615845089349231e-01,  1.2873144265458000e-01,  1.2477613493390487e+00,  9.6036464090321156e-07,  2.1725260015197400e+03
    11,  3.2186e-01, -1.2277471492861392e-02, -4.2770819575848327e-04,  7.4613196300202866e-01,  1.2877098663179223e-01,  1.2477419787610473e+00,  7.9760221721802267e-07,  2.1522060958464749e+03
    12,  3.4903e-01, -1.2436570248532985e-02, -1.1391167555641089e-04,  7.4612857929252685e-01,  1.2877520105411949e-01,  1.2477395189465053e+00,  1.7278023397952231e-07,  2.0886840080621378e+03
    13,  3.7408e-01, -1.2436585149694179e-02, -1.1391167555641089e-04,  7.4612857929252685e-01,  1.2877520105411949e-01,  1.2477395189465053e+00,  1.7278023397952231e-07,  2.0886842531143711e+03
    14,  3.9720e-01, -1.2436570248532985e-02, -1.1392657671760474e-04,  7.4612857929252685e-01,  1.2877520105411949e-01,  1.2477395189465053e+00,  1.7278023397952231e-07,  2.0886839529364956e+03
    15,  4.2461e-01, -1.2436570248532985e-02, -1.1391167555641089e-04,  7.4612859419368804e-01,  1.2877520105411949e-01,  1.2477395189465053e+00,  1.7278023397952231e-07,  2.0886840034649304e+03
    16,  4.5629e-01, -1.2436570248532985e-02, -1.1391167555641089e-04,  7.4612857929252685e-01,  1.2877521595528069e-01,  1.2477395189465053e+00,  1.7278023397952231e-07,  2.0886840149843665e+03
    17,  4.8010e-01, -1.2436570248532985e-02, -1.1391167555641089e-04,  7.4612857929252685e-01,  1.2877520105411949e-01,  1.2477395375392730e+00,  1.7278023397952231e-07,  2.0886840022379702e+03
    18,  5.0822e-01, -1.2436570248532985e-02, -1.1391167555641089e-04,  7.4612857929252685e-01,  1.2877520105411949e-01,  1.2477395189465053e+00,  1.8768139517336996e-07,  2.0886840081606747e+03
    19,  5.3715e-01, -1.2324182651319581e-02, -1.3206996253432523e-04,  7.4613067870578309e-01,  1.2877201851724038e-01,  1.2477416512105128e+00,  1.0925821193886046e-07,  2.0868301311686714e+03
    20,  5.7298e-01, -1.2324197552480775e-02, -1.3206996253432523e-04,  7.4613067870578309e-01,  1.2877201851724038e-01,  1.2477416512105128e+00,  1.0925821193886046e-07,  2.0868303694735951e+03
    21,  6.0646e-01, -1.2324182651319581e-02, -1.3208486369551908e-04,  7.4613067870578309e-01,  1.2877201851724038e-01,  1.2477416512105128e+00,  1.0925821193886046e-07,  2.0868301398905187e+03
    22,  6.3662e-01, -1.2324182651319581e-02, -1.3206996253432523e-04,  7.4613069360694428e-01,  1.2877201851724038e-01,  1.2477416512105128e+00,  1.0925821193886046e-07,  2.0868301265069335e+03
    23,  6.6993e-01, -1.2324182651319581e-02, -1.3206996253432523e-04,  7.4613067870578309e-01,  1.2877203341840157e-01,  1.2477416512105128e+00,  1.0925821193886046e-07,  2.0868301379085606e+03
    24,  6.9224e-01, -1.2324182651319581e-02, -1.3206996253432523e-04,  7.4613067870578309e-01,  1.2877201851724038e-01,  1.2477416698033124e+00,  1.0925821193886046e-07,  2.0868301255018278e+03
    25,  7.2096e-01, -1.2324182651319581e-02, -1.3206996253432523e-04,  7.4613067870578309e-01,  1.2877201851724038e-01,  1.2477416512105128e+00,  1.2415937313270812e-07,  2.0868301311199393e+03
